  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)    Im(E2+)     Re(E2-)   Im(E2-)    Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)   Im(M5-)                                                                                                  
 1080.0000   -28.7966     0.3859     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.3042    -0.0013     0.0000     0.0000     5.1807     0.0050    -2.6827     0.0005    -0.1078     0.0000    -0.6339    -0.0000     0.0290    -0.0000    -0.0659    -0.0000    -0.0089    -0.0000    -0.0336    -0.0000    -0.0000    -0.0000    -0.0012    -0.0000    -0.0010     0.0000    -0.0025    -0.0000     0.0003    -0.0000    -0.0003    -0.0000    -0.0001    -0.0000    -0.0002    -0.0000     0.0000     0.0000    -0.0000    -0.0000
 1085.0000   -27.8222     0.7250     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.6471    -0.0086     0.0000     0.0000     7.4155     0.0389    -3.5426     0.0037    -0.1788     0.0000    -1.0565    -0.0000     0.0483    -0.0000    -0.1116    -0.0000    -0.0198    -0.0000    -0.0714    -0.0000    -0.0001    -0.0000    -0.0044    -0.0000    -0.0028     0.0000    -0.0070    -0.0000     0.0008    -0.0000    -0.0009    -0.0000    -0.0004    -0.0000    -0.0009    -0.0000     0.0001     0.0000    -0.0001    -0.0000
 1090.0000   -26.9182     0.9716     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.8981    -0.0246     0.0000     0.0000     9.3264     0.1208    -4.2086     0.0096    -0.2428     0.0000    -1.4435    -0.0000     0.0657    -0.0000    -0.1547    -0.0000    -0.0321    -0.0000    -0.1135    -0.0000    -0.0001    -0.0000    -0.0086    -0.0000    -0.0054     0.0000    -0.0134    -0.0000     0.0015    -0.0000    -0.0016    -0.0000    -0.0009    -0.0000    -0.0019    -0.0000     0.0002     0.0000    -0.0002    -0.0000
 1095.0000   -26.0777     1.1820     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.0991    -0.0468     0.0000     0.0000    11.0111     0.2456    -4.7565     0.0181    -0.3007     0.0000    -1.7968    -0.0001     0.0813    -0.0000    -0.1951    -0.0000    -0.0450    -0.0000    -0.1576    -0.0000    -0.0001    -0.0000    -0.0136    -0.0000    -0.0085     0.0000    -0.0210    -0.0000     0.0024    -0.0000    -0.0023    -0.0000    -0.0016    -0.0000    -0.0034    -0.0000     0.0004     0.0000    -0.0004    -0.0000
 1100.0000   -25.2920     1.3709     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.2647    -0.0762     0.0000     0.0000    12.6112     0.4243    -5.2222     0.0288    -0.3531     0.0000    -2.1234    -0.0001     0.0952    -0.0000    -0.2332    -0.0000    -0.0582    -0.0000    -0.2023    -0.0000     0.0001     0.0000    -0.0190    -0.0000    -0.0119     0.0000    -0.0298    -0.0000     0.0034    -0.0000    -0.0030    -0.0000    -0.0025    -0.0000    -0.0053    -0.0000     0.0006     0.0000    -0.0007    -0.0000
 1105.0000   -24.5591     1.5447     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.4045    -0.1129     0.0000     0.0000    14.1742     0.6655    -5.6244     0.0416    -0.4006     0.0001    -2.4227    -0.0003     0.1077    -0.0000    -0.2688    -0.0000    -0.0713    -0.0000    -0.2464    -0.0000     0.0004     0.0000    -0.0248    -0.0000    -0.0157     0.0000    -0.0393    -0.0000     0.0046    -0.0000    -0.0035    -0.0000    -0.0036    -0.0000    -0.0076    -0.0000     0.0009     0.0000    -0.0010    -0.0000
 1110.0000   -23.8715     1.7066     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.5244    -0.1572     0.0000     0.0000    15.7291     0.9798    -5.9750     0.0563    -0.4438     0.0001    -2.6993    -0.0005     0.1188    -0.0000    -0.3023    -0.0001    -0.0841    -0.0000    -0.2900    -0.0000     0.0009     0.0000    -0.0309    -0.0000    -0.0197     0.0000    -0.0494    -0.0000     0.0059    -0.0000    -0.0039    -0.0000    -0.0048    -0.0000    -0.0102    -0.0000     0.0012     0.0000    -0.0014    -0.0000
 1115.0000   -23.2284     1.8583     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.6282    -0.2096     0.0000     0.0000    17.2956     1.3796    -6.2835     0.0729    -0.4831     0.0002    -2.9586    -0.0007     0.1285    -0.0000    -0.3340    -0.0001    -0.0966    -0.0000    -0.3323    -0.0000     0.0016     0.0000    -0.0372    -0.0000    -0.0239     0.0000    -0.0600    -0.0000     0.0073    -0.0000    -0.0041    -0.0000    -0.0062    -0.0000    -0.0130    -0.0000     0.0016     0.0000    -0.0019    -0.0000
 1120.0000   -22.6234     2.0015     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.7184    -0.2706     0.0000     0.0000    18.8872     1.8800    -6.5554     0.0911    -0.5189     0.0002    -3.1974    -0.0010     0.1371    -0.0001    -0.3634    -0.0001    -0.1085    -0.0000    -0.3733    -0.0000     0.0024     0.0000    -0.0435    -0.0000    -0.0281     0.0000    -0.0708    -0.0000     0.0088    -0.0000    -0.0042    -0.0000    -0.0076    -0.0000    -0.0161    -0.0000     0.0020     0.0000    -0.0023    -0.0000
 1125.0000   -22.0534     2.1370     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.7965    -0.3406     0.0000     0.0000    20.5132     2.4987    -6.7945     0.1108    -0.5516     0.0003    -3.4200    -0.0014     0.1446    -0.0001    -0.3910    -0.0002    -0.1200    -0.0000    -0.4123    -0.0000     0.0035     0.0000    -0.0499    -0.0000    -0.0324     0.0000    -0.0817    -0.0000     0.0104    -0.0000    -0.0042    -0.0000    -0.0091    -0.0000    -0.0193    -0.0000     0.0024     0.0000    -0.0029    -0.0000
 1130.0000   -21.5159     2.2655     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.8631    -0.4204     0.0000     0.0000    22.1793     3.2568    -7.0062     0.1319    -0.5814     0.0005    -3.6318    -0.0019     0.1510    -0.0001    -0.4172    -0.0002    -0.1310    -0.0000    -0.4500    -0.0000     0.0047     0.0000    -0.0564    -0.0000    -0.0367     0.0000    -0.0927    -0.0000     0.0120    -0.0000    -0.0042    -0.0000    -0.0107    -0.0000    -0.0228    -0.0000     0.0029     0.0000    -0.0035    -0.0000
 1135.0000   -21.0086     2.3877     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.9184    -0.5106     0.0000     0.0000    23.8866     4.1792    -7.1923     0.1541    -0.6086     0.0006    -3.8273    -0.0024     0.1564    -0.0001    -0.4413    -0.0003    -0.1415    -0.0000    -0.4859    -0.0000     0.0062     0.0000    -0.0628    -0.0000    -0.0410     0.0000    -0.1036    -0.0000     0.0137    -0.0000    -0.0041    -0.0000    -0.0124    -0.0000    -0.0263    -0.0000     0.0034     0.0000    -0.0041    -0.0000
 1140.0000   -20.5292     2.5043     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.9618    -0.6118     0.0000     0.0000    25.6318     5.2951    -7.3554     0.1775    -0.6335     0.0007    -4.0112    -0.0030     0.1610    -0.0002    -0.4638    -0.0003    -0.1514    -0.0000    -0.5202    -0.0000     0.0080     0.0000    -0.0693    -0.0000    -0.0452     0.0000    -0.1145    -0.0000     0.0153    -0.0000    -0.0041    -0.0000    -0.0141    -0.0000    -0.0300    -0.0000     0.0040     0.0000    -0.0047    -0.0000
 1145.0000   -20.0732     2.6153     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.9920    -0.7247     0.0000     0.0000    27.4050     6.6381    -7.4965     0.2018    -0.6564     0.0009    -4.1886    -0.0037     0.1647    -0.0002    -0.4853    -0.0004    -0.1609    -0.0000    -0.5522    -0.0000     0.0100     0.0000    -0.0756    -0.0000    -0.0493     0.0000    -0.1252    -0.0000     0.0171    -0.0000    -0.0041    -0.0000    -0.0159    -0.0000    -0.0337    -0.0000     0.0045     0.0000    -0.0054    -0.0000
 1150.0000   -19.6444     2.7219     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -3.0073    -0.8496     0.0000     0.0000    29.1879     8.2463    -7.6191     0.2269    -0.6773     0.0011    -4.3526    -0.0045     0.1677    -0.0003    -0.5048    -0.0005    -0.1698    -0.0001    -0.5831     0.0000     0.0122     0.0000    -0.0818     0.0000    -0.0534     0.0000    -0.1358    -0.0000     0.0188    -0.0000    -0.0043    -0.0000    -0.0176    -0.0000    -0.0374    -0.0000     0.0051     0.0000    -0.0061    -0.0000
 1155.0000   -19.2360     2.8226     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -3.0052    -0.9866     0.0000     0.0000    30.9509    10.1617    -7.7238     0.2528    -0.6964     0.0013    -4.5080    -0.0053     0.1700    -0.0003    -0.5229    -0.0006    -0.1780    -0.0001    -0.6122     0.0000     0.0147     0.0000    -0.0880     0.0000    -0.0573     0.0000    -0.1461    -0.0000     0.0205    -0.0000    -0.0047    -0.0000    -0.0194    -0.0000    -0.0412    -0.0000     0.0058     0.0000    -0.0069    -0.0000
 1160.0000   -18.8491     2.9191     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.9822    -1.1352     0.0000     0.0000    32.6497    12.4282    -7.8118     0.2793    -0.7141     0.0015    -4.6555    -0.0062     0.1716    -0.0004    -0.5396    -0.0007    -0.1859    -0.0001    -0.6396     0.0000     0.0175     0.0000    -0.0941     0.0000    -0.0612     0.0000    -0.1562    -0.0000     0.0223    -0.0000    -0.0052    -0.0000    -0.0211    -0.0000    -0.0450    -0.0000     0.0064     0.0000    -0.0076    -0.0000
 1165.0000   -18.4801     3.0117     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.9344    -1.2939     0.0000     0.0000    34.2214    15.0889    -7.8843     0.3063    -0.7302     0.0018    -4.7959    -0.0072     0.1727    -0.0004    -0.5550    -0.0008    -0.1934    -0.0001    -0.6655     0.0000     0.0205     0.0000    -0.1001     0.0000    -0.0649     0.0000    -0.1661    -0.0000     0.0240    -0.0000    -0.0060    -0.0000    -0.0229    -0.0000    -0.0487    -0.0000     0.0071     0.0000    -0.0084    -0.0000
 1170.0000   -18.1328     3.1007     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.8574    -1.4599     0.0000     0.0000    35.5802    18.1794    -7.9433     0.3336    -0.7450     0.0020    -4.9298    -0.0082     0.1732    -0.0005    -0.5691    -0.0009    -0.2004    -0.0001    -0.6899     0.0000     0.0239     0.0000    -0.1059     0.0000    -0.0686     0.0000    -0.1757    -0.0000     0.0257    -0.0000    -0.0070    -0.0000    -0.0246    -0.0000    -0.0525    -0.0000     0.0077     0.0000    -0.0092    -0.0000
 1175.0000   -17.7988     3.1862     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.7461    -1.6290     0.0000     0.0000    36.6143    21.7197    -7.9878     0.3612    -0.7586     0.0023    -5.0576    -0.0093     0.1732    -0.0005    -0.5820    -0.0011    -0.2070    -0.0002    -0.7129     0.0000     0.0275     0.0000    -0.1116     0.0000    -0.0721     0.0000    -0.1850    -0.0000     0.0275    -0.0000    -0.0083    -0.0000    -0.0264    -0.0000    -0.0562    -0.0000     0.0084     0.0000    -0.0100    -0.0000
