  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)   Im(E2+)     Re(E2-)   Im(E2-)     Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1080.0000    30.5590     0.4538     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.2689     0.0003     0.0000     0.0000    -2.6907    -0.0016     1.5903    -0.0004     0.1114     0.0000     0.5786     0.0000    -0.0484     0.0000     0.0847     0.0000     0.0094     0.0000     0.0214     0.0000    -0.0024     0.0000     0.0049     0.0000     0.0010     0.0000     0.0025     0.0000    -0.0003     0.0000     0.0003     0.0000     0.0001     0.0000     0.0003     0.0000    -0.0000    -0.0000     0.0000     0.0000
 1085.0000    29.3620     0.7689     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6156     0.0022     0.0000     0.0000    -3.7243    -0.0122     2.1096    -0.0026     0.1844     0.0000     0.9691     0.0000    -0.0817     0.0000     0.1428     0.0000     0.0205     0.0000     0.0518     0.0000    -0.0053     0.0000     0.0107     0.0000     0.0028     0.0000     0.0070     0.0000    -0.0008     0.0000     0.0009     0.0000     0.0004     0.0000     0.0009     0.0000    -0.0001    -0.0000     0.0001     0.0000
 1090.0000    28.2683     0.9336     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8650     0.0065     0.0000     0.0000    -4.5789    -0.0383     2.5172    -0.0066     0.2500     0.0000     1.3304     0.0000    -0.1127     0.0000     0.1964     0.0000     0.0329     0.0000     0.0877     0.0000    -0.0087     0.0000     0.0176     0.0000     0.0054     0.0000     0.0133     0.0000    -0.0015     0.0000     0.0017     0.0000     0.0009     0.0000     0.0019     0.0000    -0.0002    -0.0000     0.0003     0.0000
 1095.0000    27.2642     1.0338     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0585     0.0125     0.0000     0.0000    -5.3163    -0.0782     2.8577    -0.0123     0.3091     0.0000     1.6658     0.0001    -0.1416     0.0000     0.2452     0.0000     0.0460     0.0000     0.1268     0.0000    -0.0123     0.0000     0.0252     0.0000     0.0084     0.0000     0.0209     0.0000    -0.0024     0.0000     0.0028     0.0000     0.0016     0.0000     0.0034     0.0000    -0.0003    -0.0000     0.0004     0.0000
 1100.0000    26.3383     1.0951     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.2137     0.0206     0.0000     0.0000    -5.9962    -0.1356     3.1522    -0.0191     0.3623     0.0001     1.9788     0.0002    -0.1684     0.0000     0.2891     0.0000     0.0592     0.0000     0.1681     0.0000    -0.0163     0.0000     0.0334     0.0000     0.0120     0.0000     0.0297     0.0000    -0.0034     0.0000     0.0039     0.0000     0.0025     0.0000     0.0054     0.0000    -0.0006    -0.0000     0.0007     0.0000
 1105.0000    25.4826     1.1321     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.3409     0.0309     0.0000     0.0000    -6.6421    -0.2134     3.4119    -0.0271     0.4103     0.0001     2.2730     0.0004    -0.1933    -0.0001     0.3282     0.0001     0.0724     0.0000     0.2102     0.0000    -0.0205     0.0000     0.0419     0.0000     0.0157     0.0000     0.0392     0.0000    -0.0046     0.0000     0.0051     0.0000     0.0036     0.0000     0.0076     0.0000    -0.0009    -0.0000     0.0010     0.0000
 1110.0000    24.6730     1.1495     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.4468     0.0435     0.0000     0.0000    -7.2683    -0.3154     3.6440    -0.0359     0.4537     0.0002     2.5488     0.0007    -0.2165    -0.0001     0.3624     0.0001     0.0853     0.0000     0.2532     0.0000    -0.0248     0.0000     0.0508     0.0000     0.0198     0.0000     0.0493     0.0000    -0.0060     0.0000     0.0063     0.0000     0.0048     0.0000     0.0102     0.0000    -0.0012    -0.0000     0.0014     0.0000
 1115.0000    23.9269     1.1526     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.5357     0.0586     0.0000     0.0000    -7.8841    -0.4455     3.8540    -0.0455     0.4927     0.0002     2.8119     0.0011    -0.2377    -0.0002     0.3921     0.0002     0.0978     0.0000     0.2961     0.0000    -0.0293     0.0000     0.0597     0.0000     0.0239     0.0000     0.0597     0.0000    -0.0074     0.0000     0.0076     0.0000     0.0062     0.0000     0.0130     0.0000    -0.0015    -0.0000     0.0018     0.0000
 1120.0000    23.2207     1.1451     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.6106     0.0764     0.0000     0.0000    -8.4969    -0.6088     4.0451    -0.0555     0.5282     0.0003     3.0588     0.0017    -0.2575    -0.0002     0.4172     0.0002     0.1098     0.0000     0.3392     0.0000    -0.0338     0.0000     0.0689     0.0000     0.0281     0.0000     0.0705     0.0000    -0.0089     0.0000     0.0089     0.0000     0.0076     0.0000     0.0161     0.0000    -0.0020    -0.0000     0.0024     0.0000
 1125.0000    22.5465     1.1299     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.6741     0.0971     0.0000     0.0000    -9.1112    -0.8114     4.2199    -0.0659     0.5605     0.0004     3.2928     0.0025    -0.2758    -0.0003     0.4383     0.0004     0.1213     0.0000     0.3816     0.0000    -0.0384     0.0000     0.0781     0.0000     0.0324     0.0000     0.0814     0.0000    -0.0105     0.0000     0.0102     0.0000     0.0091     0.0000     0.0193     0.0000    -0.0024    -0.0000     0.0029     0.0000
 1130.0000    21.8983     1.1069     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.7274     0.1209     0.0000     0.0000    -9.7306    -1.0603     4.3814    -0.0766     0.5897     0.0005     3.5175     0.0035    -0.2926    -0.0004     0.4567     0.0005     0.1324     0.0000     0.4238     0.0000    -0.0431     0.0000     0.0874     0.0000     0.0367     0.0000     0.0923     0.0000    -0.0122     0.0000     0.0116     0.0000     0.0108     0.0000     0.0228     0.0000    -0.0029    -0.0000     0.0035     0.0000
 1135.0000    21.2846     1.0776     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.7713     0.1482     0.0000     0.0000   -10.3557    -1.3637     4.5304    -0.0873     0.6162     0.0007     3.7270     0.0046    -0.3080    -0.0005     0.4720     0.0006     0.1429     0.0000     0.4653     0.0000    -0.0477     0.0000     0.0966     0.0000     0.0410     0.0000     0.1032     0.0000    -0.0138     0.0000     0.0130     0.0000     0.0124     0.0000     0.0263     0.0000    -0.0034    -0.0000     0.0041     0.0000
 1140.0000    20.6838     1.0439     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.8070     0.1789     0.0000     0.0000   -10.9872    -1.7315     4.6692    -0.0978     0.6402     0.0009     3.9244     0.0061    -0.3222    -0.0006     0.4859     0.0008     0.1529     0.0000     0.5057     0.0000    -0.0525     0.0000     0.1058     0.0000     0.0452     0.0000     0.1140     0.0000    -0.0156     0.0000     0.0144     0.0000     0.0141     0.0000     0.0300     0.0000    -0.0039    -0.0000     0.0048     0.0000
 1145.0000    20.1201     1.0079     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.8344     0.2136     0.0000     0.0000   -11.6221    -2.1749     4.7979    -0.1081     0.6621     0.0010     4.1108     0.0077    -0.3352    -0.0007     0.4993     0.0010     0.1624     0.0000     0.5453     0.0001    -0.0573     0.0000     0.1149     0.0000     0.0493     0.0000     0.1246     0.0000    -0.0173     0.0000     0.0159     0.0000     0.0159     0.0000     0.0337     0.0000    -0.0044    -0.0000     0.0054     0.0000
 1150.0000    19.5767     0.9690     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.8533     0.2523     0.0000     0.0000   -12.2548    -2.7066     4.9182    -0.1180     0.6820     0.0012     4.2861     0.0097    -0.3468    -0.0009     0.5132     0.0012     0.1714     0.0000     0.5837     0.0001    -0.0620     0.0000     0.1240     0.0000     0.0533     0.0000     0.1352     0.0000    -0.0191     0.0000     0.0174     0.0000     0.0176     0.0000     0.0374     0.0000    -0.0050    -0.0000     0.0061     0.0000
 1155.0000    19.0741     0.9296     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.8636     0.2950     0.0000     0.0000   -12.8763    -3.3406     5.0312    -0.1274     0.7000     0.0014     4.4467     0.0119    -0.3576    -0.0011     0.5279     0.0014     0.1797     0.0000     0.6209     0.0001    -0.0669     0.0000     0.1330     0.0000     0.0573     0.0000     0.1454     0.0000    -0.0208     0.0000     0.0191     0.0000     0.0194     0.0000     0.0413     0.0000    -0.0057    -0.0000     0.0069     0.0000
 1160.0000    18.6031     0.8909     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.8646     0.3414     0.0000     0.0000   -13.4723    -4.0915     5.1373    -0.1360     0.7164     0.0016     4.5979     0.0145    -0.3671    -0.0013     0.5448     0.0017     0.1876     0.0000     0.6564     0.0002    -0.0717     0.0000     0.1418     0.0000     0.0611     0.0000     0.1555     0.0000    -0.0226     0.0000     0.0207     0.0000     0.0211     0.0000     0.0450     0.0000    -0.0063     0.0000     0.0076     0.0000
 1165.0000    18.1612     0.8519     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.8547     0.3914     0.0000     0.0000   -14.0216    -4.9740     5.2370    -0.1438     0.7313     0.0020     4.7349     0.0174    -0.3757    -0.0015     0.5635     0.0021     0.1952     0.0000     0.6901     0.0002    -0.0765     0.0000     0.1503     0.0001     0.0649     0.0000     0.1652     0.0000    -0.0244     0.0000     0.0225     0.0000     0.0229     0.0000     0.0488     0.0000    -0.0069     0.0000     0.0084     0.0000
 1170.0000    17.7484     0.8126     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.8336     0.4436     0.0000     0.0000   -14.4969    -5.9995     5.3315    -0.1506     0.7448     0.0022     4.8662     0.0205    -0.3834    -0.0017     0.5856     0.0025     0.2023     0.0000     0.7224     0.0003    -0.0815     0.0000     0.1588     0.0001     0.0685     0.0000     0.1748     0.0000    -0.0262     0.0000     0.0243     0.0000     0.0246     0.0000     0.0526     0.0000    -0.0076     0.0000     0.0093     0.0000
 1175.0000    17.3601     0.7744     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.7992     0.4970     0.0000     0.0000   -14.8605    -7.1750     5.4206    -0.1562     0.7571     0.0025     4.9848     0.0241    -0.3901    -0.0020     0.6097     0.0030     0.2090     0.0001     0.7528     0.0003    -0.0864     0.0000     0.1669     0.0001     0.0721     0.0000     0.1840     0.0000    -0.0280     0.0000     0.0263     0.0000     0.0264     0.0000     0.0563     0.0000    -0.0082     0.0000     0.0100     0.0000
 1180.0000    17.0051     0.7360     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.7503     0.5491     0.0000     0.0000   -15.0672    -8.4975     5.5052    -0.1605     0.7682     0.0027     5.0942     0.0281    -0.3960    -0.0021     0.6362     0.0036     0.2152     0.0001     0.7819     0.0004    -0.0912     0.0000     0.1752     0.0001     0.0754     0.0000     0.1930     0.0000    -0.0297     0.0000     0.0283     0.0000     0.0281     0.0000     0.0600     0.0000    -0.0089     0.0000     0.0109     0.0000
 1185.0000    16.6628     0.7001     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.6859     0.5967     0.0000     0.0000   -15.0648    -9.9492     5.5858    -0.1632     0.7782     0.0030     5.1981     0.0324    -0.4011    -0.0024     0.6653     0.0043     0.2211     0.0001     0.8087     0.0005    -0.0961     0.0000     0.1830     0.0002     0.0787     0.0000     0.2017     0.0000    -0.0314     0.0000     0.0304     0.0000     0.0297     0.0000     0.0637     0.0000    -0.0096     0.0000     0.0117     0.0000
 1190.0000    16.3390     0.6648     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.6063     0.6363     0.0000     0.0000   -14.8001   -11.4922     5.6624    -0.1642     0.7873     0.0033     5.2947     0.0372    -0.4054    -0.0027     0.6962     0.0052     0.2266     0.0001     0.8336     0.0006    -0.1011     0.0000     0.1906     0.0002     0.0819     0.0000     0.2102     0.0000    -0.0332     0.0000     0.0325     0.0000     0.0314     0.0000     0.0672     0.0000    -0.0103     0.0000     0.0126     0.0000
