  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)   Im(E2+)     Re(E2-)   Im(E2-)     Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1080.0000     1.7624     0.8397     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0353    -0.0010     0.0000     0.0000     2.4900     0.0034    -1.0924     0.0001     0.0036     0.0000    -0.0553     0.0000    -0.0194    -0.0000     0.0188     0.0000     0.0005    -0.0000    -0.0121     0.0000    -0.0024     0.0000     0.0037     0.0000     0.0000     0.0000    -0.0000     0.0000    -0.0000    -0.0000     0.0000     0.0000     0.0000     0.0000     0.0001     0.0000     0.0000     0.0000     0.0000     0.0000
 1085.0000     1.5398     1.4939     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0315    -0.0064     0.0000     0.0000     3.6912     0.0267    -1.4330     0.0011     0.0057     0.0000    -0.0874     0.0000    -0.0334    -0.0000     0.0312     0.0000     0.0007    -0.0000    -0.0196     0.0000    -0.0054     0.0000     0.0063     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0000     0.0000     0.0000     0.0000
 1090.0000     1.3501     1.9052     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0331    -0.0180     0.0000     0.0000     4.7474     0.0825    -1.6914     0.0029     0.0072     0.0000    -0.1131     0.0000    -0.0470    -0.0000     0.0417     0.0000     0.0009    -0.0000    -0.0258     0.0000    -0.0088     0.0000     0.0090     0.0000     0.0000     0.0000    -0.0001     0.0000     0.0000    -0.0000     0.0001     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0001     0.0000
 1095.0000     1.1865     2.2158     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0406    -0.0343     0.0000     0.0000     5.6948     0.1674    -1.8988     0.0058     0.0084     0.0000    -0.1310    -0.0000    -0.0602    -0.0000     0.0501     0.0000     0.0010    -0.0000    -0.0308     0.0000    -0.0124     0.0000     0.0116     0.0000    -0.0001     0.0000    -0.0000     0.0000    -0.0000    -0.0000     0.0005     0.0000     0.0000     0.0000     0.0000     0.0000     0.0001     0.0000     0.0000     0.0000
 1100.0000     1.0463     2.4660     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0510    -0.0556     0.0000     0.0000     6.6150     0.2887    -2.0700     0.0097     0.0092     0.0001    -0.1446     0.0001    -0.0732    -0.0000     0.0559     0.0000     0.0010    -0.0000    -0.0342     0.0000    -0.0162     0.0000     0.0144     0.0000     0.0001     0.0000    -0.0001     0.0000    -0.0000    -0.0000     0.0009     0.0000     0.0000     0.0000     0.0001     0.0000    -0.0000     0.0000     0.0000     0.0000
 1105.0000     0.9235     2.6767     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0636    -0.0820     0.0000     0.0000     7.5321     0.4521    -2.2125     0.0145     0.0097     0.0002    -0.1497     0.0001    -0.0856    -0.0001     0.0595     0.0001     0.0011    -0.0000    -0.0362     0.0000    -0.0201     0.0000     0.0171     0.0000     0.0000     0.0000    -0.0002     0.0000    -0.0000    -0.0000     0.0016     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
 1110.0000     0.8015     2.8561     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0776    -0.1137     0.0000     0.0000     8.4608     0.6644    -2.3310     0.0204     0.0099     0.0003    -0.1505     0.0002    -0.0977    -0.0001     0.0601     0.0000     0.0012    -0.0000    -0.0368     0.0000    -0.0239     0.0000     0.0199     0.0000     0.0001     0.0000    -0.0001     0.0000    -0.0001    -0.0000     0.0024     0.0000     0.0000     0.0000    -0.0000     0.0000    -0.0000     0.0000    -0.0000     0.0000
 1115.0000     0.6985     3.0109     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0925    -0.1510     0.0000     0.0000     9.4115     0.9341    -2.4295     0.0275     0.0096     0.0004    -0.1466     0.0004    -0.1092    -0.0002     0.0581     0.0001     0.0012    -0.0000    -0.0362     0.0000    -0.0277     0.0000     0.0226     0.0000    -0.0000     0.0000    -0.0002     0.0000    -0.0001    -0.0000     0.0035     0.0000    -0.0000     0.0000     0.0000     0.0000     0.0001     0.0000    -0.0001     0.0000
 1120.0000     0.5973     3.1466     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1078    -0.1942     0.0000     0.0000    10.3903     1.2712    -2.5103     0.0356     0.0093     0.0005    -0.1385     0.0007    -0.1204    -0.0003     0.0538     0.0001     0.0013    -0.0000    -0.0341     0.0000    -0.0314     0.0000     0.0254     0.0000     0.0000     0.0000    -0.0003     0.0000    -0.0001    -0.0000     0.0047     0.0000     0.0000     0.0000    -0.0000     0.0000     0.0000     0.0000     0.0001     0.0000
 1125.0000     0.4931     3.2669     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1224    -0.2435     0.0000     0.0000    11.4020     1.6873    -2.5746     0.0449     0.0089     0.0007    -0.1272     0.0011    -0.1312    -0.0004     0.0473     0.0002     0.0014    -0.0000    -0.0307     0.0000    -0.0349     0.0000     0.0282     0.0000     0.0000     0.0000    -0.0003     0.0000    -0.0001    -0.0000     0.0060     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0000     0.0000    -0.0000     0.0000
 1130.0000     0.3824     3.3724     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1357    -0.2995     0.0000     0.0000    12.4487     2.1965    -2.6248     0.0553     0.0083     0.0010    -0.1143     0.0016    -0.1416    -0.0005     0.0395     0.0003     0.0014    -0.0000    -0.0262     0.0000    -0.0384     0.0000     0.0310     0.0000     0.0000     0.0000    -0.0004     0.0000    -0.0002    -0.0000     0.0074     0.0000     0.0001     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0000     0.0000
 1135.0000     0.2760     3.4653     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1471    -0.3625     0.0000     0.0000    13.5309     2.8155    -2.6619     0.0668     0.0076     0.0013    -0.1003     0.0023    -0.1516    -0.0006     0.0307     0.0003     0.0014    -0.0000    -0.0206     0.0000    -0.0415     0.0000     0.0338     0.0000    -0.0000     0.0000    -0.0004     0.0000    -0.0001    -0.0000     0.0089     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0000     0.0000
 1140.0000     0.1546     3.5482     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1548    -0.4329     0.0000     0.0000    14.6446     3.5636    -2.6862     0.0797     0.0067     0.0016    -0.0868     0.0031    -0.1612    -0.0008     0.0221     0.0004     0.0015    -0.0000    -0.0145     0.0000    -0.0445     0.0000     0.0365     0.0000    -0.0000     0.0000    -0.0005     0.0000    -0.0003    -0.0000     0.0103     0.0000     0.0000     0.0000     0.0000     0.0000     0.0001     0.0000     0.0001     0.0000
 1145.0000     0.0469     3.6232     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1576    -0.5111     0.0000     0.0000    15.7828     4.4631    -2.6986     0.0937     0.0057     0.0019    -0.0777     0.0040    -0.1704    -0.0009     0.0140     0.0006     0.0015    -0.0000    -0.0069     0.0001    -0.0473     0.0000     0.0393     0.0000    -0.0000     0.0000    -0.0006     0.0000    -0.0002    -0.0000     0.0118     0.0000     0.0000     0.0000    -0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
 1150.0000    -0.0677     3.6909     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1540    -0.5973     0.0000     0.0000    16.9330     5.5397    -2.7008     0.1089     0.0047     0.0023    -0.0665     0.0052    -0.1792    -0.0012     0.0084     0.0007     0.0015    -0.0001     0.0006     0.0001    -0.0498     0.0000     0.0422     0.0000    -0.0001     0.0000    -0.0006     0.0000    -0.0003    -0.0000     0.0131     0.0000    -0.0000     0.0000     0.0000     0.0000     0.0001     0.0000     0.0000     0.0000
 1155.0000    -0.1619     3.7522     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1416    -0.6916     0.0000     0.0000    18.0746     6.8211    -2.6925     0.1254     0.0036     0.0027    -0.0613     0.0066    -0.1876    -0.0014     0.0050     0.0009     0.0017    -0.0001     0.0087     0.0001    -0.0522     0.0000     0.0450     0.0000     0.0000     0.0000    -0.0007     0.0000    -0.0003    -0.0000     0.0144     0.0000    -0.0000     0.0000     0.0001     0.0000     0.0001     0.0000     0.0000     0.0000
 1160.0000    -0.2460     3.8100     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1176    -0.7937     0.0000     0.0000    19.1774     8.3367    -2.6745     0.1433     0.0023     0.0032    -0.0576     0.0083    -0.1956    -0.0017     0.0052     0.0010     0.0017    -0.0001     0.0169     0.0002    -0.0542     0.0000     0.0477     0.0000    -0.0000     0.0000    -0.0007     0.0000    -0.0003    -0.0000     0.0155     0.0000     0.0000    -0.0000     0.0001     0.0000     0.0001     0.0000     0.0000     0.0000
 1165.0000    -0.3189     3.8635     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0797    -0.9026     0.0000     0.0000    20.1998    10.1149    -2.6473     0.1625     0.0012     0.0037    -0.0610     0.0101    -0.2030    -0.0019     0.0084     0.0013     0.0018    -0.0001     0.0246     0.0002    -0.0560     0.0000     0.0502     0.0001    -0.0000     0.0000    -0.0009     0.0000    -0.0004    -0.0000     0.0165     0.0000     0.0000    -0.0000     0.0001     0.0000     0.0002     0.0000     0.0000     0.0000
