!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 0   10/ 7/19
!  WCM     S31  pE   S31  pM   S11  pE   S11  pM   S11  nE   S11  nM
 1080.0  -28.7966    0.0000   18.9053    0.0000  -23.0150    0.0000           0.3859    0.0000    0.5254    0.0000   -0.6394    0.0000
 1085.0  -27.8222    0.0000   18.0384    0.0000  -22.1375    0.0000           0.7250    0.0000    0.9076    0.0000   -1.1136    0.0000
 1090.0  -26.9182    0.0000   17.2810    0.0000  -21.3102    0.0000           0.9716    0.0000    1.1262    0.0000   -1.3887    0.0000
 1095.0  -26.0777    0.0000   16.6145    0.0000  -20.5287    0.0000           1.1820    0.0000    1.2774    0.0000   -1.5782    0.0000
 1100.0  -25.2920    0.0000   16.0254    0.0000  -19.7899    0.0000           1.3709    0.0000    1.3891    0.0000   -1.7151    0.0000
 1105.0  -24.5591    0.0000   15.5004    0.0000  -19.0921    0.0000           1.5447    0.0000    1.4760    0.0000   -1.8179    0.0000
 1110.0  -23.8715    0.0000   15.0140    0.0000  -18.4177    0.0000           1.7066    0.0000    1.5434    0.0000   -1.8934    0.0000
 1115.0  -23.2284    0.0000   14.5705    0.0000  -17.7977    0.0000           1.8583    0.0000    1.5954    0.0000   -1.9486    0.0000
 1120.0  -22.6234    0.0000   14.1431    0.0000  -17.2160    0.0000           2.0015    0.0000    1.6348    0.0000   -1.9897    0.0000
 1125.0  -22.0534    0.0000   13.7177    0.0000  -16.6731    0.0000           2.1370    0.0000    1.6631    0.0000   -2.0213    0.0000
 1130.0  -21.5159    0.0000   13.2845    0.0000  -16.1681    0.0000           2.2655    0.0000    1.6797    0.0000   -2.0444    0.0000
 1135.0  -21.0086    0.0000   12.8516    0.0000  -15.7118    0.0000           2.3877    0.0000    1.6860    0.0000   -2.0611    0.0000
 1140.0  -20.5292    0.0000   12.4077    0.0000  -15.2737    0.0000           2.5043    0.0000    1.6842    0.0000   -2.0732    0.0000
 1145.0  -20.0732    0.0000   11.9832    0.0000  -14.8748    0.0000           2.6153    0.0000    1.6773    0.0000   -2.0820    0.0000
 1150.0  -19.6444    0.0000   11.5718    0.0000  -14.4853    0.0000           2.7219    0.0000    1.6665    0.0000   -2.0861    0.0000
 1155.0  -19.2360    0.0000   11.1977    0.0000  -14.1265    0.0000           2.8226    0.0000    1.6542    0.0000   -2.0868    0.0000
 1160.0  -18.8491    0.0000   10.8568    0.0000  -13.7834    0.0000           2.9191    0.0000    1.6425    0.0000   -2.0853    0.0000
 1165.0  -18.4801    0.0000   10.5478    0.0000  -13.4546    0.0000           3.0117    0.0000    1.6310    0.0000   -2.0805    0.0000
 1170.0  -18.1328    0.0000   10.2690    0.0000  -13.1393    0.0000           3.1007    0.0000    1.6198    0.0000   -2.0726    0.0000
 1175.0  -17.7988    0.0000   10.0175    0.0000  -12.8369    0.0000           3.1862    0.0000    1.6099    0.0000   -2.0630    0.0000
 1180.0  -17.4823    0.0000    9.7975    0.0000  -12.5578    0.0000           3.2708    0.0000    1.6008    0.0000   -2.0517    0.0000
 1185.0  -17.1822    0.0000    9.5908    0.0000  -12.2801    0.0000           3.3499    0.0000    1.5933    0.0000   -2.0401    0.0000
 1190.0  -16.8931    0.0000    9.4015    0.0000  -12.0144    0.0000           3.4260    0.0000    1.5863    0.0000   -2.0272    0.0000
 1195.0  -16.6214    0.0000    9.2357    0.0000  -11.7704    0.0000           3.4993    0.0000    1.5796    0.0000   -2.0131    0.0000
 1200.0  -16.3595    0.0000    9.0759    0.0000  -11.5273    0.0000           3.5698    0.0000    1.5745    0.0000   -1.9998    0.0000
 1205.0  -16.1113    0.0000    8.9358    0.0000  -11.3049    0.0000           3.6379    0.0000    1.5695    0.0000   -1.9856    0.0000
 1210.0  -15.8741    0.0000    8.8062    0.0000  -11.0927    0.0000           3.7058    0.0000    1.5650    0.0000   -1.9714    0.0000
 1215.0  -15.6473    0.0000    8.6861    0.0000  -10.8902    0.0000           3.7690    0.0000    1.5611    0.0000   -1.9572    0.0000
 1220.0  -15.4314    0.0000    8.5701    0.0000  -10.6879    0.0000           3.8284    0.0000    1.5414    0.0000   -1.9442    0.0000
 1225.0  -15.2245    0.0000    8.4682    0.0000  -10.5037    0.0000           3.8747    0.0000    1.5215    0.0000   -1.9350    0.0000
 1230.0  -15.0292    0.0000    8.3716    0.0000  -10.3282    0.0000           3.9232    0.0000    1.5064    0.0000   -1.9265    0.0000
 1235.0  -14.8428    0.0000    8.2801    0.0000  -10.1612    0.0000           3.9674    0.0000    1.4939    0.0000   -1.9170    0.0000
 1240.0  -14.6627    0.0000    8.1938    0.0000  -10.0022    0.0000           4.0096    0.0000    1.4857    0.0000   -1.9092    0.0000
 1245.0  -14.4929    0.0000    8.1194    0.0000   -9.8594    0.0000           4.0523    0.0000    1.4807    0.0000   -1.9024    0.0000
 1250.0  -14.3286    0.0000    8.0425    0.0000   -9.7153    0.0000           4.0953    0.0000    1.4778    0.0000   -1.8956    0.0000
 1255.0  -14.1717    0.0000    7.9700    0.0000   -9.5782    0.0000           4.1347    0.0000    1.4783    0.0000   -1.8905    0.0000
 1260.0  -14.0217    0.0000    7.9017    0.0000   -9.4478    0.0000           4.1748    0.0000    1.4804    0.0000   -1.8856    0.0000
 1265.0  -13.8761    0.0000    7.8446    0.0000   -9.3320    0.0000           4.2155    0.0000    1.4854    0.0000   -1.8824    0.0000
 1270.0  -13.7367    0.0000    7.7841    0.0000   -9.2143    0.0000           4.2551    0.0000    1.4924    0.0000   -1.8802    0.0000
 1275.0  -13.6035    0.0000    7.7341    0.0000   -9.1103    0.0000           4.2955    0.0000    1.5021    0.0000   -1.8797    0.0000
 1280.0  -13.4734    0.0000    7.6886    0.0000   -9.0118    0.0000           4.3348    0.0000    1.5128    0.0000   -1.8793    0.0000
 1285.0  -13.3487    0.0000    7.6385    0.0000   -8.9110    0.0000           4.3730    0.0000    1.5269    0.0000   -1.8814    0.0000
 1290.0  -13.2266    0.0000    7.5988    0.0000   -8.8229    0.0000           4.4143    0.0000    1.5425    0.0000   -1.8844    0.0000
 1295.0  -13.1090    0.0000    7.5627    0.0000   -8.7398    0.0000           4.4546    0.0000    1.5605    0.0000   -1.8891    0.0000
 1300.0  -12.9937    0.0000    7.5217    0.0000   -8.6539    0.0000           4.4939    0.0000    1.5801    0.0000   -1.8946    0.0000
 1305.0  -12.8824    0.0000    7.4910    0.0000   -8.5799    0.0000           4.5342    0.0000    1.6027    0.0000   -1.9025    0.0000
 1310.0  -12.7728    0.0000    7.4633    0.0000   -8.5104    0.0000           4.5755    0.0000    1.6268    0.0000   -1.9113    0.0000
 1315.0  -12.6665    0.0000    7.4389    0.0000   -8.4450    0.0000           4.6177    0.0000    1.6539    0.0000   -1.9224    0.0000
 1320.0  -12.5616    0.0000    7.4164    0.0000   -8.3835    0.0000           4.6589    0.0000    1.6826    0.0000   -1.9343    0.0000
 1325.0  -12.4593    0.0000    7.3963    0.0000   -8.3261    0.0000           4.6991    0.0000    1.7144    0.0000   -1.9486    0.0000
 1330.0  -12.3581    0.0000    7.3725    0.0000   -8.2653    0.0000           4.7400    0.0000    1.7491    0.0000   -1.9652    0.0000
 1335.0  -12.2595    0.0000    7.3586    0.0000   -8.2151    0.0000           4.7816    0.0000    1.7861    0.0000   -1.9834    0.0000
 1340.0  -12.1613    0.0000    7.3473    0.0000   -8.1686    0.0000           4.8221    0.0000    1.8263    0.0000   -2.0039    0.0000
 1345.0  -12.0653    0.0000    7.3374    0.0000   -8.1254    0.0000           4.8631    0.0000    1.8685    0.0000   -2.0260    0.0000
 1350.0  -11.9718    0.0000    7.3311    0.0000   -8.0856    0.0000           4.9029    0.0000    1.9147    0.0000   -2.0511    0.0000
 1355.0  -11.8784    0.0000    7.3272    0.0000   -8.0490    0.0000           4.9431    0.0000    1.9637    0.0000   -2.0779    0.0000
 1360.0  -11.7869    0.0000    7.3183    0.0000   -8.0088    0.0000           4.9819    0.0000    2.0165    0.0000   -2.1079    0.0000
 1365.0  -11.6973    0.0000    7.3196    0.0000   -7.9787    0.0000           5.0211    0.0000    2.0733    0.0000   -2.1402    0.0000
 1370.0  -11.6098    0.0000    7.3232    0.0000   -7.9516    0.0000           5.0589    0.0000    2.1333    0.0000   -2.1757    0.0000
 1375.0  -11.5242    0.0000    7.3220    0.0000   -7.9208    0.0000           5.0970    0.0000    2.1991    0.0000   -2.2144    0.0000
 1380.0  -11.4387    0.0000    7.3310    0.0000   -7.9001    0.0000           5.1317    0.0000    2.2681    0.0000   -2.2557    0.0000
 1385.0  -11.3572    0.0000    7.3353    0.0000   -7.8757    0.0000           5.1686    0.0000    2.3420    0.0000   -2.3012    0.0000
 1390.0  -11.2776    0.0000    7.3429    0.0000   -7.8547    0.0000           5.2021    0.0000    2.4217    0.0000   -2.3501    0.0000
 1395.0  -11.1998    0.0000    7.3524    0.0000   -7.8370    0.0000           5.2358    0.0000    2.5065    0.0000   -2.4033    0.0000
 1400.0  -11.1262    0.0000    7.3648    0.0000   -7.8226    0.0000           5.2662    0.0000    2.5978    0.0000   -2.4610    0.0000
 1405.0  -11.0549    0.0000    7.3795    0.0000   -7.8120    0.0000           5.2969    0.0000    2.6955    0.0000   -2.5240    0.0000
 1410.0  -10.9858    0.0000    7.3906    0.0000   -7.7987    0.0000           5.3259    0.0000    2.8000    0.0000   -2.5919    0.0000
 1415.0  -10.9210    0.0000    7.4044    0.0000   -7.7895    0.0000           5.3552    0.0000    2.9125    0.0000   -2.6657    0.0000
 1420.0  -10.8587    0.0000    7.4209    0.0000   -7.7846    0.0000           5.3813    0.0000    3.0329    0.0000   -2.7464    0.0000
 1425.0  -10.8024    0.0000    7.4335    0.0000   -7.7783    0.0000           5.4039    0.0000    3.1630    0.0000   -2.8347    0.0000
 1430.0  -10.7490    0.0000    7.4492    0.0000   -7.7776    0.0000           5.4267    0.0000    3.3031    0.0000   -2.9321    0.0000
