!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 1   10/ 7/19
!  WCM     P31  pE   P31  pM   P11  pE   P11  pM   P11  nE   P11  nM
 1080.0    0.0000   -2.6827    0.0000    0.4129    0.0000   -0.9792           0.0000    0.0005    0.0000   -0.0001    0.0000    0.0003
 1085.0    0.0000   -3.5426    0.0000    0.5437    0.0000   -1.3138           0.0000    0.0037    0.0000   -0.0008    0.0000    0.0020
 1090.0    0.0000   -4.2086    0.0000    0.6449    0.0000   -1.5837           0.0000    0.0096    0.0000   -0.0020    0.0000    0.0049
 1095.0    0.0000   -4.7565    0.0000    0.7290    0.0000   -1.8154           0.0000    0.0181    0.0000   -0.0036    0.0000    0.0089
 1100.0    0.0000   -5.2222    0.0000    0.8018    0.0000   -2.0211           0.0000    0.0288    0.0000   -0.0054    0.0000    0.0136
 1105.0    0.0000   -5.6244    0.0000    0.8668    0.0000   -2.2074           0.0000    0.0416    0.0000   -0.0074    0.0000    0.0190
 1110.0    0.0000   -5.9750    0.0000    0.9259    0.0000   -2.3788           0.0000    0.0563    0.0000   -0.0096    0.0000    0.0246
 1115.0    0.0000   -6.2835    0.0000    0.9808    0.0000   -2.5382           0.0000    0.0729    0.0000   -0.0118    0.0000    0.0305
 1120.0    0.0000   -6.5554    0.0000    1.0325    0.0000   -2.6875           0.0000    0.0911    0.0000   -0.0140    0.0000    0.0363
 1125.0    0.0000   -6.7945    0.0000    1.0818    0.0000   -2.8284           0.0000    0.1108    0.0000   -0.0160    0.0000    0.0420
 1130.0    0.0000   -7.0062    0.0000    1.1295    0.0000   -2.9625           0.0000    0.1319    0.0000   -0.0180    0.0000    0.0472
 1135.0    0.0000   -7.1923    0.0000    1.1759    0.0000   -3.0901           0.0000    0.1541    0.0000   -0.0198    0.0000    0.0520
 1140.0    0.0000   -7.3554    0.0000    1.2218    0.0000   -3.2130           0.0000    0.1775    0.0000   -0.0213    0.0000    0.0560
 1145.0    0.0000   -7.4965    0.0000    1.2672    0.0000   -3.3310           0.0000    0.2018    0.0000   -0.0225    0.0000    0.0592
 1150.0    0.0000   -7.6191    0.0000    1.3125    0.0000   -3.4446           0.0000    0.2269    0.0000   -0.0234    0.0000    0.0614
 1155.0    0.0000   -7.7238    0.0000    1.3582    0.0000   -3.5551           0.0000    0.2528    0.0000   -0.0238    0.0000    0.0624
 1160.0    0.0000   -7.8118    0.0000    1.4043    0.0000   -3.6625           0.0000    0.2793    0.0000   -0.0238    0.0000    0.0620
 1165.0    0.0000   -7.8843    0.0000    1.4510    0.0000   -3.7667           0.0000    0.3063    0.0000   -0.0232    0.0000    0.0602
 1170.0    0.0000   -7.9433    0.0000    1.4987    0.0000   -3.8688           0.0000    0.3336    0.0000   -0.0220    0.0000    0.0568
 1175.0    0.0000   -7.9878    0.0000    1.5474    0.0000   -3.9685           0.0000    0.3612    0.0000   -0.0201    0.0000    0.0515
 1180.0    0.0000   -8.0205    0.0000    1.5973    0.0000   -4.0661           0.0000    0.3891    0.0000   -0.0174    0.0000    0.0442
 1185.0    0.0000   -8.0412    0.0000    1.6486    0.0000   -4.1622           0.0000    0.4169    0.0000   -0.0137    0.0000    0.0347
 1190.0    0.0000   -8.0506    0.0000    1.7013    0.0000   -4.2565           0.0000    0.4447    0.0000   -0.0091    0.0000    0.0229
 1195.0    0.0000   -8.0494    0.0000    1.7557    0.0000   -4.3495           0.0000    0.4724    0.0000   -0.0034    0.0000    0.0085
 1200.0    0.0000   -8.0391    0.0000    1.8122    0.0000   -4.4421           0.0000    0.4998    0.0000    0.0035    0.0000   -0.0086
 1205.0    0.0000   -8.0195    0.0000    1.8695    0.0000   -4.5309           0.0000    0.5270    0.0000    0.0119    0.0000   -0.0288
 1210.0    0.0000   -7.9909    0.0000    1.9295    0.0000   -4.6204           0.0000    0.5538    0.0000    0.0217    0.0000   -0.0521
 1215.0    0.0000   -7.9549    0.0000    1.9903    0.0000   -4.7062           0.0000    0.5800    0.0000    0.0333    0.0000   -0.0788
 1220.0    0.0000   -7.9107    0.0000    2.0541    0.0000   -4.7927           0.0000    0.6088    0.0000    0.0470    0.0000   -0.1098
 1225.0    0.0000   -7.8585    0.0000    2.1208    0.0000   -4.8799           0.0000    0.6416    0.0000    0.0622    0.0000   -0.1456
 1230.0    0.0000   -7.7991    0.0000    2.1886    0.0000   -4.9634           0.0000    0.6746    0.0000    0.0797    0.0000   -0.1861
 1235.0    0.0000   -7.7340    0.0000    2.2576    0.0000   -5.0432           0.0000    0.7075    0.0000    0.1000    0.0000   -0.2315
 1240.0    0.0000   -7.6623    0.0000    2.3298    0.0000   -5.1236           0.0000    0.7405    0.0000    0.1232    0.0000   -0.2822
 1245.0    0.0000   -7.5859    0.0000    2.4053    0.0000   -5.2047           0.0000    0.7733    0.0000    0.1498    0.0000   -0.3386
 1250.0    0.0000   -7.5035    0.0000    2.4821    0.0000   -5.2820           0.0000    0.8060    0.0000    0.1800    0.0000   -0.4011
