!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 1   10/ 7/19
!  WCM     P33  pE   P33  pM   P13  pE   P13  pM   P13  nE   P13  nM
 1080.0   -1.3042    5.1807    0.8218   -0.8066   -0.8466    1.1210          -0.0013    0.0050   -0.0001    0.0001    0.0001   -0.0001
 1085.0   -1.6471    7.4155    1.0428   -1.0497   -1.0903    1.4552          -0.0086    0.0389   -0.0007    0.0007    0.0007   -0.0009
 1090.0   -1.8981    9.3264    1.1975   -1.2326   -1.2671    1.7077          -0.0246    0.1208   -0.0016    0.0017    0.0017   -0.0023
 1095.0   -2.0991   11.0111    1.3134   -1.3795   -1.4043    1.9123          -0.0468    0.2456   -0.0030    0.0031    0.0032   -0.0043
 1100.0   -2.2647   12.6112    1.4032   -1.5012   -1.5144    2.0837          -0.0762    0.4243   -0.0046    0.0049    0.0050   -0.0068
 1105.0   -2.4045   14.1742    1.4742   -1.6041   -1.6046    2.2307          -0.1129    0.6655   -0.0065    0.0070    0.0070   -0.0098
 1110.0   -2.5244   15.7291    1.5311   -1.6921   -1.6796    2.3584          -0.1572    0.9798   -0.0085    0.0094    0.0093   -0.0131
 1115.0   -2.6282   17.2956    1.5769   -1.7677   -1.7423    2.4702          -0.2096    1.3796   -0.0107    0.0120    0.0118   -0.0168
 1120.0   -2.7184   18.8872    1.6139   -1.8331   -1.7951    2.5692          -0.2706    1.8800   -0.0131    0.0149    0.0145   -0.0208
 1125.0   -2.7965   20.5132    1.6440   -1.8899   -1.8398    2.6571          -0.3406    2.4987   -0.0155    0.0179    0.0174   -0.0251
 1130.0   -2.8631   22.1793    1.6683   -1.9393   -1.8778    2.7357          -0.4204    3.2568   -0.0181    0.0210    0.0203   -0.0296
 1135.0   -2.9184   23.8866    1.6875   -1.9816   -1.9095    2.8054          -0.5106    4.1792   -0.0207    0.0243    0.0234   -0.0344
 1140.0   -2.9618   25.6318    1.7030   -2.0184   -1.9365    2.8682          -0.6118    5.2951   -0.0234    0.0277    0.0266   -0.0393
 1145.0   -2.9920   27.4050    1.7151   -2.0500   -1.9590    2.9243          -0.7247    6.6381   -0.0261    0.0311    0.0298   -0.0444
 1150.0   -3.0073   29.1879    1.7242   -2.0767   -1.9775    2.9744          -0.8496    8.2463   -0.0288    0.0347    0.0330   -0.0497
 1155.0   -3.0052   30.9509    1.7310   -2.0993   -1.9928    3.0194          -0.9866   10.1617   -0.0315    0.0383    0.0363   -0.0550
 1160.0   -2.9822   32.6497    1.7359   -2.1183   -2.0051    3.0598          -1.1352   12.4282   -0.0343    0.0419    0.0396   -0.0605
 1165.0   -2.9344   34.2214    1.7387   -2.1335   -2.0145    3.0955          -1.2939   15.0889   -0.0370    0.0454    0.0429   -0.0659
 1170.0   -2.8574   35.5802    1.7404   -2.1459   -2.0219    3.1277          -1.4599   18.1794   -0.0398    0.0491    0.0462   -0.0715
 1175.0   -2.7461   36.6143    1.7406   -2.1553   -2.0270    3.1561          -1.6290   21.7197   -0.0425    0.0527    0.0495   -0.0771
 1180.0   -2.5961   37.1867    1.7397   -2.1621   -2.0301    3.1812          -1.7942   25.7009   -0.0452    0.0562    0.0528   -0.0827
 1185.0   -2.4041   37.1405    1.7378   -2.1663   -2.0313    3.2030          -1.9464   30.0698   -0.0480    0.0598    0.0561   -0.0884
 1190.0   -2.1696   36.3144    1.7352   -2.1684   -2.0311    3.2222          -2.0739   34.7126   -0.0506    0.0633    0.0593   -0.0940
 1195.0   -1.8959   34.5694    1.7320   -2.1687   -2.0295    3.2390          -2.1633   39.4450   -0.0533    0.0667    0.0624   -0.0996
 1200.0   -1.5917   31.8237    1.7281   -2.1669   -2.0265    3.2533          -2.2015   44.0145   -0.0559    0.0701    0.0655   -0.1052
 1205.0   -1.2712   28.0902    1.7236   -2.1634   -2.0222    3.2653          -2.1779   48.1247   -0.0585    0.0734    0.0686   -0.1108
 1210.0   -0.9528   23.4981    1.7188   -2.1583   -2.0170    3.2753          -2.0875   51.4812   -0.0610    0.0766    0.0716   -0.1163
 1215.0   -0.6564   18.2887    1.7135   -2.1517   -2.0106    3.2834          -1.9326   53.8485   -0.0635    0.0798    0.0745   -0.1217
 1220.0   -0.3997   12.7754    1.7078   -2.1437   -2.0032    3.2894          -1.7227   55.0940   -0.0660    0.0829    0.0774   -0.1271
 1225.0   -0.1951    7.2908    1.7019   -2.1345   -1.9951    3.2941          -1.4728   55.2158   -0.0682    0.0857    0.0802   -0.1324
 1230.0   -0.0480    2.1271    1.6957   -2.1240   -1.9860    3.2970          -1.2011   54.3379   -0.0704    0.0885    0.0829   -0.1376
 1235.0    0.0428   -2.5090    1.6895   -2.1126   -1.9764    3.2987          -0.9242   52.6533   -0.0726    0.0912    0.0855   -0.1427
 1240.0    0.0833   -6.5039    1.6829   -2.1000   -1.9660    3.2989          -0.6557   50.3835   -0.0747    0.0938    0.0880   -0.1477
 1245.0    0.0818   -9.8248    1.6762   -2.0865   -1.9549    3.2977          -0.4049   47.7408   -0.0768    0.0963    0.0905   -0.1526
 1250.0    0.0478  -12.4984    1.6694   -2.0722   -1.9434    3.2955          -0.1772   44.9049   -0.0788    0.0986    0.0928   -0.1574
 1255.0   -0.0102  -14.5863    1.6625   -2.0570   -1.9313    3.2920           0.0250   42.0143   -0.0808    0.1009    0.0951   -0.1621
 1260.0   -0.0848  -16.1667    1.6554   -2.0409   -1.9185    3.2873           0.2017   39.1677   -0.0827    0.1030    0.0972   -0.1667
 1265.0   -0.1699  -17.3204    1.6483   -2.0243   -1.9055    3.2819           0.3542   36.4293   -0.0846    0.1051    0.0993   -0.1711
 1270.0   -0.2610  -18.1234    1.6411   -2.0070   -1.8919    3.2754           0.4846   33.8378   -0.0864    0.1069    0.1012   -0.1755
 1275.0   -0.3547  -18.6429    1.6338   -1.9889   -1.8779    3.2679           0.5953   31.4123   -0.0882    0.1087    0.1031   -0.1797
 1280.0   -0.4485  -18.9359    1.6265   -1.9704   -1.8637    3.2597           0.6887   29.1592   -0.0899    0.1104    0.1049   -0.1838
 1285.0   -0.5409  -19.0500    1.6192   -1.9514   -1.8491    3.2507           0.7670   27.0765   -0.0916    0.1119    0.1066   -0.1877
 1290.0   -0.6307  -19.0239    1.6119   -1.9319   -1.8343    3.2411           0.8324   25.1570   -0.0933    0.1134    0.1081   -0.1916
 1295.0   -0.7171  -18.8885    1.6045   -1.9119   -1.8192    3.2307           0.8866   23.3908   -0.0949    0.1147    0.1096   -0.1952
 1300.0   -0.7999  -18.6689    1.5971   -1.8915   -1.8038    3.2195           0.9313   21.7664   -0.0965    0.1159    0.1110   -0.1988
 1305.0   -0.8787  -18.3848    1.5898   -1.8707   -1.7883    3.2078           0.9677   20.2722   -0.0980    0.1170    0.1122   -0.2022
 1310.0   -0.9535  -18.0518    1.5823   -1.8495   -1.7725    3.1955           0.9971   18.8969   -0.0995    0.1180    0.1134   -0.2055
 1315.0   -1.0244  -17.6821    1.5749   -1.8279   -1.7565    3.1824           1.0203   17.6294   -0.1010    0.1189    0.1144   -0.2086
 1320.0   -1.0914  -17.2854    1.5675   -1.8061   -1.7404    3.1690           1.0384   16.4598   -0.1025    0.1196    0.1154   -0.2116
 1325.0   -1.1547  -16.8694    1.5601   -1.7840   -1.7242    3.1549           1.0519   15.3787   -0.1039    0.1203    0.1163   -0.2145
 1330.0   -1.2145  -16.4399    1.5527   -1.7617   -1.7079    3.1406           1.0614   14.3778   -0.1053    0.1209    0.1170   -0.2171
 1335.0   -1.2708  -16.0015    1.5454   -1.7391   -1.6916    3.1256           1.0675   13.4496   -0.1067    0.1214    0.1176   -0.2197
 1340.0   -1.3240  -15.5577    1.5380   -1.7161   -1.6750    3.1101           1.0706   12.5871   -0.1080    0.1218    0.1182   -0.2221
 1345.0   -1.3740  -15.1114    1.5307   -1.6931   -1.6585    3.0943           1.0710   11.7843   -0.1094    0.1221    0.1186   -0.2244
 1350.0   -1.4212  -14.6646    1.5234   -1.6698   -1.6420    3.0780           1.0691   11.0357   -0.1107    0.1223    0.1190   -0.2266
 1355.0   -1.4656  -14.2187    1.5163   -1.6464   -1.6255    3.0615           1.0651   10.3365   -0.1120    0.1224    0.1192   -0.2286
 1360.0   -1.5074  -13.7751    1.5092   -1.6228   -1.6089    3.0445           1.0593    9.6822   -0.1133    0.1225    0.1193   -0.2304
 1365.0   -1.5467  -13.3344    1.5022   -1.5992   -1.5924    3.0273           1.0518    9.0691   -0.1146    0.1225    0.1194   -0.2322
 1370.0   -1.5836  -12.8974    1.4953   -1.5753   -1.5759    3.0096           1.0428    8.4937   -0.1159    0.1225    0.1193   -0.2337
 1375.0   -1.6182  -12.4642    1.4883   -1.5513   -1.5594    2.9914           1.0325    7.9529   -0.1172    0.1224    0.1191   -0.2352
 1380.0   -1.6507  -12.0352    1.4816   -1.5273   -1.5430    2.9731           1.0210    7.4441   -0.1185    0.1222    0.1188   -0.2365
 1385.0   -1.6811  -11.6105    1.4752   -1.5033   -1.5268    2.9546           1.0084    6.9648   -0.1197    0.1221    0.1184   -0.2378
 1390.0   -1.7095  -11.1902    1.4686   -1.4790   -1.5104    2.9354           0.9949    6.5129   -0.1209    0.1218    0.1179   -0.2388
 1395.0   -1.7359  -10.7742    1.4624   -1.4549   -1.4944    2.9164           0.9805    6.0865   -0.1221    0.1216    0.1173   -0.2398
 1400.0   -1.7605  -10.3625    1.4564   -1.4306   -1.4784    2.8970           0.9652    5.6840   -0.1233    0.1213    0.1166   -0.2406
 1405.0   -1.7831   -9.9552    1.4504   -1.4063   -1.4624    2.8771           0.9493    5.3040   -0.1244    0.1210    0.1158   -0.2413
 1410.0   -1.8040   -9.5521    1.4448   -1.3821   -1.4466    2.8571           0.9327    4.9450   -0.1254    0.1207    0.1149   -0.2418
 1415.0   -1.8231   -9.1533    1.4393   -1.3578   -1.4309    2.8368           0.9155    4.6060   -0.1264    0.1203    0.1138   -0.2423
 1420.0   -1.8404   -8.7589    1.4341   -1.3335   -1.4154    2.8164           0.8979    4.2860   -0.1272    0.1200    0.1127   -0.2426
 1425.0   -1.8560   -8.3688    1.4292   -1.3093   -1.4000    2.7955           0.8798    3.9841   -0.1280    0.1196    0.1114   -0.2428
 1430.0   -1.8700   -7.9831    1.4245   -1.2851   -1.3849    2.7746           0.8614    3.6994   -0.1287    0.1192    0.1101   -0.2429
 1435.0   -1.8823   -7.6020    1.4201   -1.2610   -1.3698    2.7534           0.8427    3.4313   -0.1292    0.1189    0.1086   -0.2429
 1440.0   -1.8929   -7.2255    1.4161   -1.2369   -1.3550    2.7320           0.8237    3.1791   -0.1296    0.1185    0.1070   -0.2428
 1445.0   -1.9019   -6.8539    1.4124   -1.2129   -1.3403    2.7103           0.8045    2.9422   -0.1298    0.1181    0.1053   -0.2425
 1450.0   -1.9094   -6.4874    1.4089   -1.1889   -1.3257    2.6882           0.7853    2.7201   -0.1299    0.1178    0.1034   -0.2422
 1455.0   -1.9152   -6.1262    1.4059   -1.1651   -1.3114    2.6661           0.7660    2.5122   -0.1297    0.1175    0.1015   -0.2418
 1460.0   -1.9196   -5.7707    1.4033   -1.1414   -1.2974    2.6440           0.7467    2.3182   -0.1292    0.1172    0.0994   -0.2413
 1465.0   -1.9224   -5.4211    1.4009   -1.1177   -1.2834    2.6212           0.7275    2.1375   -0.1286    0.1170    0.0972   -0.2407
 1470.0   -1.9238   -5.0777    1.3991   -1.0943   -1.2698    2.5986           0.7084    1.9698   -0.1276    0.1168    0.0949   -0.2400
 1475.0   -1.9237   -4.7410    1.3975   -1.0709   -1.2563    2.5755           0.6895    1.8146   -0.1263    0.1166    0.0924   -0.2392
 1480.0   -1.9222   -4.4113    1.3964   -1.0477   -1.2430    2.5523           0.6708    1.6716   -0.1246    0.1164    0.0898   -0.2384
 1485.0   -1.9194   -4.0890    1.3957   -1.0247   -1.2299    2.5288           0.6524    1.5403   -0.1225    0.1164    0.0871   -0.2375
 1490.0   -1.9152   -3.7744    1.3955   -1.0018   -1.2170    2.5050           0.6343    1.4203   -0.1201    0.1163    0.0843   -0.2366
 1495.0   -1.9098   -3.4680    1.3957   -0.9792   -1.2045    2.4812           0.6166    1.3112   -0.1171    0.1164    0.0813   -0.2356
 1500.0   -1.9032   -3.1702    1.3963   -0.9566   -1.1919    2.4569           0.5994    1.2127   -0.1137    0.1165    0.0782   -0.2347
 1505.0   -1.8954   -2.8813    1.3974   -0.9344   -1.1798    2.4326           0.5826    1.1242   -0.1096    0.1166    0.0749   -0.2337
 1510.0   -1.8866   -2.6016    1.3988   -0.9122   -1.1677    2.4078           0.5663    1.0454   -0.1050    0.1168    0.0715   -0.2327
 1515.0   -1.8767   -2.3316    1.4007   -0.8905   -1.1559    2.3832           0.5506    0.9758   -0.0998    0.1171    0.0679   -0.2318
 1520.0   -1.8659   -2.0714    1.4030   -0.8689   -1.1442    2.3580           0.5354    0.9149   -0.0938    0.1175    0.0642   -0.2308
 1525.0   -1.8541   -1.8215    1.4058   -0.8476   -1.1328    2.3327           0.5208    0.8623   -0.0871    0.1180    0.0604   -0.2300
 1530.0   -1.8416   -1.5820    1.4088   -0.8266   -1.1214    2.3069           0.5068    0.8175   -0.0796    0.1185    0.0564   -0.2292
 1535.0   -1.8283   -1.3531    1.4122   -0.8059   -1.1103    2.2811           0.4934    0.7800   -0.0713    0.1191    0.0522   -0.2285
 1540.0   -1.8144   -1.1349    1.4159   -0.7854   -1.0994    2.2550           0.4807    0.7493   -0.0620    0.1197    0.0479   -0.2280
 1545.0   -1.7998   -0.9276    1.4198   -0.7654   -1.0885    2.2287           0.4686    0.7249   -0.0518    0.1205    0.0435   -0.2275
 1550.0   -1.7847   -0.7313    1.4239   -0.7457   -1.0778    2.2022           0.4571    0.7064   -0.0405    0.1213    0.0389   -0.2273
 1555.0   -1.7692   -0.5458    1.4282   -0.7263   -1.0673    2.1755           0.4462    0.6932   -0.0282    0.1222    0.0342   -0.2273
 1560.0   -1.7533   -0.3713    1.4325   -0.7073   -1.0567    2.1485           0.4359    0.6849   -0.0148    0.1231    0.0294   -0.2274
