!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D33  pE   D33  pM   D13  pE   D13  pM   D13  nE   D13  nM
 1080.0   -0.6339   -0.0659    0.2669    0.0506   -0.4677   -0.0749          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1085.0   -1.0565   -0.1116    0.4493    0.0893   -0.7845   -0.1219          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1090.0   -1.4435   -0.1547    0.6209    0.1285   -1.0776   -0.1611          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1095.0   -1.7968   -0.1951    0.7839    0.1680   -1.3499   -0.1923          -0.0001   -0.0000    0.0000    0.0000   -0.0001   -0.0000
 1100.0   -2.1234   -0.2332    0.9397    0.2074   -1.6023   -0.2154          -0.0001   -0.0000    0.0001    0.0000   -0.0002   -0.0000
 1105.0   -2.4227   -0.2688    1.0913    0.2465   -1.8395   -0.2308          -0.0003   -0.0000    0.0002    0.0001   -0.0004   -0.0000
 1110.0   -2.6993   -0.3023    1.2379    0.2845   -2.0601   -0.2388          -0.0005   -0.0001    0.0004    0.0001   -0.0007   -0.0001
 1115.0   -2.9586   -0.3340    1.3824    0.3212   -2.2691   -0.2404          -0.0007   -0.0001    0.0007    0.0002   -0.0011   -0.0001
 1120.0   -3.1974   -0.3634    1.5225    0.3558   -2.4636   -0.2363          -0.0010   -0.0001    0.0011    0.0002   -0.0017   -0.0002
 1125.0   -3.4200   -0.3910    1.6593    0.3878   -2.6463   -0.2282          -0.0014   -0.0002    0.0016    0.0004   -0.0025   -0.0002
 1130.0   -3.6318   -0.4172    1.7935    0.4171   -2.8203   -0.2181          -0.0019   -0.0002    0.0022    0.0005   -0.0035   -0.0003
 1135.0   -3.8273   -0.4413    1.9215    0.4427   -2.9810   -0.2071          -0.0024   -0.0003    0.0030    0.0007   -0.0047   -0.0003
 1140.0   -4.0112   -0.4638    2.0436    0.4648   -3.1310   -0.1977          -0.0030   -0.0003    0.0040    0.0009   -0.0061   -0.0004
 1145.0   -4.1886   -0.4853    2.1588    0.4834   -3.2705   -0.1916          -0.0037   -0.0004    0.0052    0.0012   -0.0078   -0.0005
 1150.0   -4.3526   -0.5048    2.2678    0.4990   -3.4026   -0.1909          -0.0045   -0.0005    0.0066    0.0014   -0.0098   -0.0006
 1155.0   -4.5080   -0.5229    2.3666    0.5113   -3.5215   -0.1959          -0.0053   -0.0006    0.0082    0.0018   -0.0121   -0.0007
 1160.0   -4.6555   -0.5396    2.4584    0.5215   -3.6337   -0.2083          -0.0062   -0.0007    0.0100    0.0021   -0.0148   -0.0008
 1165.0   -4.7959   -0.5550    2.5393    0.5296   -3.7332   -0.2273          -0.0072   -0.0008    0.0121    0.0025   -0.0178   -0.0011
 1170.0   -4.9298   -0.5691    2.6156    0.5373   -3.8303   -0.2544          -0.0082   -0.0009    0.0144    0.0030   -0.0211   -0.0014
 1175.0   -5.0576   -0.5820    2.6821    0.5441   -3.9157   -0.2873          -0.0093   -0.0011    0.0171    0.0035   -0.0249   -0.0018
 1180.0   -5.1799   -0.5937    2.7416    0.5511   -3.9935   -0.3256          -0.0105   -0.0012    0.0200    0.0040   -0.0291   -0.0024
 1185.0   -5.2971   -0.6043    2.7970    0.5590   -4.0677   -0.3688          -0.0116   -0.0013    0.0233    0.0046   -0.0338   -0.0031
 1190.0   -5.4095   -0.6137    2.8474    0.5679   -4.1357   -0.4153          -0.0129   -0.0015    0.0268    0.0054   -0.0390   -0.0039
 1195.0   -5.5176   -0.6221    2.8937    0.5780   -4.1982   -0.4639          -0.0141   -0.0016    0.0308    0.0061   -0.0446   -0.0049
 1200.0   -5.6215   -0.6293    2.9392    0.5901   -4.2595   -0.5141          -0.0154   -0.0017    0.0351    0.0070   -0.0508   -0.0061
 1205.0   -5.7160   -0.6350    2.9798    0.6031   -4.3128   -0.5639          -0.0167   -0.0019    0.0398    0.0080   -0.0575   -0.0075
 1210.0   -5.8122   -0.6402    3.0212    0.6182   -4.3660   -0.6135          -0.0180   -0.0020    0.0449    0.0092   -0.0648   -0.0091
 1215.0   -5.9051   -0.6444    3.0615    0.6348   -4.4160   -0.6617          -0.0193   -0.0021    0.0504    0.0104   -0.0727   -0.0109
 1220.0   -5.9888   -0.6470    3.1012    0.6528   -4.4632   -0.7080          -0.0210   -0.0021    0.0506    0.0144   -0.0789   -0.0224
 1225.0   -6.0752   -0.6493    3.1401    0.6723   -4.5076   -0.7524          -0.0221   -0.0018    0.0426    0.0197   -0.0845   -0.0438
 1230.0   -6.1586   -0.6507    3.1785    0.6932   -4.5496   -0.7947          -0.0232   -0.0015    0.0368    0.0255   -0.0916   -0.0635
 1235.0   -6.2330   -0.6504    3.2193    0.7160   -4.5933   -0.8352          -0.0243   -0.0011    0.0330    0.0318   -0.1000   -0.0816
 1240.0   -6.3107   -0.6499    3.2573    0.7394   -4.6313   -0.8726          -0.0254   -0.0006    0.0312    0.0383   -0.1099   -0.0981
 1245.0   -6.3795   -0.6479    3.2983    0.7644   -4.6715   -0.9075          -0.0266    0.0000    0.0315    0.0450   -0.1212   -0.1132
 1250.0   -6.4518   -0.6456    3.3365    0.7897   -4.7065   -0.9390          -0.0278    0.0008    0.0337    0.0520   -0.1339   -0.1271
 1255.0   -6.5153   -0.6418    3.3779    0.8165   -4.7441   -0.9680          -0.0292    0.0016    0.0377    0.0592   -0.1479   -0.1399
 1260.0   -6.5827   -0.6377    3.4197    0.8439   -4.7808   -0.9939          -0.0307    0.0025    0.0434    0.0667   -0.1633   -0.1519
 1265.0   -6.6412   -0.6322    3.4618    0.8719   -4.8165   -1.0168          -0.0324    0.0036    0.0510    0.0743   -0.1802   -0.1632
 1270.0   -6.7039   -0.6264    3.5042    0.9004   -4.8514   -1.0367          -0.0342    0.0049    0.0602    0.0821   -0.1984   -0.1739
 1275.0   -6.7576   -0.6192    3.5467    0.9293   -4.8856   -1.0538          -0.0364    0.0063    0.0712    0.0902   -0.2181   -0.1842
 1280.0   -6.8158   -0.6117    3.5927    0.9593   -4.9232   -1.0687          -0.0389    0.0078    0.0838    0.0986   -0.2392   -0.1942
 1285.0   -6.8652   -0.6028    3.6358    0.9888   -4.9565   -1.0801          -0.0418    0.0096    0.0981    0.1075   -0.2619   -0.2041
 1290.0   -6.9123   -0.5930    3.6822    1.0192   -4.9934   -1.0895          -0.0452    0.0115    0.1142    0.1167   -0.2862   -0.2139
 1295.0   -6.9642   -0.5831    3.7288    1.0499   -5.0300   -1.0966          -0.0492    0.0136    0.1321    0.1263   -0.3122   -0.2237
 1300.0   -7.0072   -0.5717    3.7749    1.0810   -5.0662   -1.1018          -0.0538    0.0160    0.1517    0.1366   -0.3399   -0.2338
 1305.0   -7.0552   -0.5602    3.8213    1.1121   -5.1023   -1.1047          -0.0592    0.0187    0.1735    0.1476   -0.3696   -0.2441
 1310.0   -7.0943   -0.5472    3.8678    1.1432   -5.1386   -1.1053          -0.0655    0.0216    0.1974    0.1593   -0.4013   -0.2548
