!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D35  pE   D35  pM   D15  pE   D15  pM   D15  nE   D15  nM
 1080.0   -0.1078    0.0290    0.0745   -0.0386   -0.0765    0.0389           0.0000   -0.0000    0.0000   -0.0000   -0.0000    0.0000
 1085.0   -0.1788    0.0483    0.1231   -0.0654   -0.1266    0.0658           0.0000   -0.0000    0.0000   -0.0000   -0.0000    0.0000
 1090.0   -0.2428    0.0657    0.1667   -0.0905   -0.1715    0.0910           0.0000   -0.0000    0.0000   -0.0000   -0.0000    0.0000
 1095.0   -0.3007    0.0813    0.2058   -0.1142   -0.2119    0.1147           0.0000   -0.0000    0.0000   -0.0000   -0.0000    0.0000
 1100.0   -0.3531    0.0952    0.2409   -0.1364   -0.2483    0.1369           0.0000   -0.0000    0.0001   -0.0000   -0.0001    0.0000
 1105.0   -0.4006    0.1077    0.2724   -0.1572   -0.2811    0.1576           0.0001   -0.0000    0.0001   -0.0001   -0.0001    0.0001
 1110.0   -0.4438    0.1188    0.3008   -0.1768   -0.3107    0.1769           0.0001   -0.0000    0.0002   -0.0001   -0.0002    0.0001
 1115.0   -0.4831    0.1285    0.3261   -0.1950   -0.3372    0.1947           0.0002   -0.0000    0.0003   -0.0002   -0.0003    0.0002
 1120.0   -0.5189    0.1371    0.3492   -0.2122   -0.3613    0.2114           0.0002   -0.0001    0.0004   -0.0002   -0.0004    0.0002
 1125.0   -0.5516    0.1446    0.3700   -0.2283   -0.3832    0.2269           0.0003   -0.0001    0.0005   -0.0003   -0.0005    0.0003
 1130.0   -0.5814    0.1510    0.3888   -0.2433   -0.4030    0.2412           0.0005   -0.0001    0.0007   -0.0004   -0.0007    0.0004
 1135.0   -0.6086    0.1564    0.4057   -0.2574   -0.4209    0.2544           0.0006   -0.0001    0.0009   -0.0005   -0.0009    0.0005
 1140.0   -0.6335    0.1610    0.4210   -0.2705   -0.4371    0.2666           0.0007   -0.0002    0.0011   -0.0007   -0.0011    0.0007
 1145.0   -0.6564    0.1647    0.4348   -0.2828   -0.4518    0.2777           0.0009   -0.0002    0.0013   -0.0008   -0.0013    0.0008
 1150.0   -0.6773    0.1677    0.4473   -0.2941   -0.4652    0.2878           0.0011   -0.0003    0.0015   -0.0010   -0.0016    0.0010
