!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 3   10/ 7/19
!  WCM     F35  pE   F35  pM   F15  pE   F15  pM   F15  nE   F15  nM
 1080.0   -0.0336   -0.0012   -0.0003    0.0031   -0.0208   -0.0058          -0.0000   -0.0000   -0.0000    0.0000   -0.0000   -0.0000
 1085.0   -0.0714   -0.0044    0.0109    0.0069   -0.0451   -0.0116          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1090.0   -0.1135   -0.0086    0.0274    0.0113   -0.0723   -0.0182          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1095.0   -0.1576   -0.0136    0.0476    0.0162   -0.1010   -0.0252          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1100.0   -0.2023   -0.0190    0.0710    0.0215   -0.1303   -0.0327          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1105.0   -0.2464   -0.0248    0.0968    0.0269   -0.1594   -0.0404          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1110.0   -0.2900   -0.0309    0.1248    0.0326   -0.1882   -0.0484          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1115.0   -0.3323   -0.0372    0.1545    0.0382   -0.2161   -0.0565          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1120.0   -0.3733   -0.0435    0.1861    0.0440   -0.2434   -0.0648          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1125.0   -0.4123   -0.0499    0.2189    0.0498   -0.2694   -0.0731          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1130.0   -0.4500   -0.0564    0.2530    0.0556   -0.2946   -0.0816          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1135.0   -0.4859   -0.0628    0.2879    0.0614   -0.3188   -0.0900          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1140.0   -0.5202   -0.0693    0.3231    0.0671   -0.3415   -0.0983          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1145.0   -0.5522   -0.0756    0.3588    0.0728   -0.3636   -0.1067          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1150.0   -0.5831   -0.0818    0.3942    0.0785   -0.3845   -0.1150           0.0000    0.0000    0.0001    0.0000   -0.0001   -0.0000
 1155.0   -0.6122   -0.0880    0.4292    0.0841   -0.4044   -0.1232           0.0000    0.0000    0.0001    0.0000   -0.0001   -0.0000
 1160.0   -0.6396   -0.0941    0.4632    0.0896   -0.4233   -0.1313           0.0000    0.0000    0.0002    0.0000   -0.0002   -0.0000
 1165.0   -0.6655   -0.1001    0.4957    0.0949   -0.4408   -0.1390           0.0000    0.0000    0.0002    0.0000   -0.0002   -0.0001
 1170.0   -0.6899   -0.1059    0.5270    0.1002   -0.4578   -0.1467           0.0000    0.0000    0.0003    0.0001   -0.0002   -0.0001
 1175.0   -0.7129   -0.1116    0.5566    0.1054   -0.4738   -0.1541           0.0000    0.0000    0.0004    0.0001   -0.0003   -0.0001
 1180.0   -0.7345   -0.1172    0.5848    0.1107   -0.4894   -0.1615           0.0000    0.0000    0.0004    0.0001   -0.0004   -0.0001
 1185.0   -0.7546   -0.1226    0.6105    0.1157   -0.5038   -0.1685           0.0000    0.0000    0.0006    0.0001   -0.0005   -0.0002
 1190.0   -0.7737   -0.1279    0.6340    0.1207   -0.5173   -0.1752           0.0000    0.0000    0.0007    0.0001   -0.0005   -0.0002
 1195.0   -0.7914   -0.1331    0.6554    0.1255   -0.5301   -0.1816           0.0000    0.0000    0.0008    0.0002   -0.0006   -0.0002
 1200.0   -0.8080   -0.1381    0.6747    0.1303   -0.5421   -0.1878           0.0001    0.0000    0.0010    0.0002   -0.0008   -0.0003
 1205.0   -0.8234   -0.1429    0.6925    0.1351   -0.5539   -0.1938           0.0001    0.0000    0.0011    0.0002   -0.0009   -0.0003
 1210.0   -0.8379   -0.1477    0.7078    0.1396   -0.5645   -0.1995           0.0001    0.0000    0.0013    0.0003   -0.0010   -0.0004
 1215.0   -0.8512   -0.1522    0.7219    0.1443   -0.5750   -0.2050           0.0001    0.0000    0.0015    0.0003   -0.0012   -0.0004
 1220.0   -0.8636   -0.1566    0.7336    0.1487   -0.5844   -0.2102           0.0002    0.0000   -0.0033    0.0003   -0.0014   -0.0002
 1225.0   -0.8751   -0.1608    0.7442    0.1532   -0.5937   -0.2152           0.0003    0.0001   -0.0117    0.0003   -0.0016    0.0004
 1230.0   -0.8858   -0.1649    0.7525    0.1575   -0.6019   -0.2198           0.0004    0.0001   -0.0201    0.0003   -0.0018    0.0010
 1235.0   -0.8955   -0.1688    0.7600    0.1618   -0.6101   -0.2244           0.0006    0.0002   -0.0284    0.0003   -0.0019    0.0017
 1240.0   -0.9044   -0.1726    0.7662    0.1661   -0.6178   -0.2287           0.0007    0.0003   -0.0366    0.0003   -0.0021    0.0023
 1245.0   -0.9126   -0.1762    0.7712    0.1704   -0.6250   -0.2328           0.0009    0.0004   -0.0445    0.0004   -0.0024    0.0029
 1250.0   -0.9200   -0.1796    0.7753    0.1746   -0.6317   -0.2367           0.0011    0.0005   -0.0520    0.0004   -0.0026    0.0035
 1255.0   -0.9267   -0.1829    0.7785    0.1787   -0.6380   -0.2405           0.0013    0.0006   -0.0591    0.0005   -0.0029    0.0041
 1260.0   -0.9327   -0.1860    0.7811    0.1829   -0.6438   -0.2440           0.0016    0.0007   -0.0657    0.0005   -0.0031    0.0047
 1265.0   -0.9382   -0.1890    0.7830    0.1870   -0.6492   -0.2473           0.0018    0.0008   -0.0719    0.0006   -0.0034    0.0053
 1270.0   -0.9430   -0.1918    0.7845    0.1910   -0.6542   -0.2505           0.0021    0.0009   -0.0776    0.0007   -0.0037    0.0058
 1275.0   -0.9472   -0.1945    0.7866    0.1952   -0.6594   -0.2538           0.0024    0.0011   -0.0827    0.0008   -0.0041    0.0063
 1280.0   -0.9508   -0.1970    0.7877    0.1993   -0.6636   -0.2567           0.0027    0.0012   -0.0874    0.0010   -0.0044    0.0068
 1285.0   -0.9538   -0.1993    0.7897    0.2035   -0.6680   -0.2597           0.0031    0.0014   -0.0915    0.0011   -0.0048    0.0072
 1290.0   -0.9564   -0.2015    0.7906    0.2075   -0.6715   -0.2624           0.0034    0.0016   -0.0952    0.0013   -0.0052    0.0077
 1295.0   -0.9584   -0.2035    0.7924    0.2117   -0.6753   -0.2651           0.0038    0.0018   -0.0984    0.0015   -0.0056    0.0081
 1300.0   -0.9600   -0.2053    0.7944    0.2159   -0.6787   -0.2678           0.0043    0.0020   -0.1012    0.0017   -0.0060    0.0084
 1305.0   -0.9611   -0.2070    0.7969    0.2201   -0.6818   -0.2704           0.0047    0.0022   -0.1036    0.0020   -0.0065    0.0088
 1310.0   -0.9618   -0.2085    0.7991    0.2243   -0.6846   -0.2729           0.0052    0.0025   -0.1056    0.0022   -0.0070    0.0091
 1315.0   -0.9620   -0.2099    0.8019    0.2286   -0.6871   -0.2753           0.0057    0.0027   -0.1072    0.0025   -0.0075    0.0094
 1320.0   -0.9619   -0.2111    0.8049    0.2329   -0.6893   -0.2776           0.0062    0.0030   -0.1086    0.0028   -0.0080    0.0097
 1325.0   -0.9613   -0.2122    0.8093    0.2374   -0.6918   -0.2802           0.0068    0.0033   -0.1096    0.0032   -0.0086    0.0100
 1330.0   -0.9604   -0.2131    0.8130    0.2418   -0.6934   -0.2824           0.0074    0.0037   -0.1104    0.0036   -0.0091    0.0102
 1335.0   -0.9591   -0.2138    0.8184    0.2464   -0.6954   -0.2848           0.0081    0.0040   -0.1110    0.0040   -0.0098    0.0105
 1340.0   -0.9576   -0.2144    0.8239    0.2511   -0.6970   -0.2872           0.0088    0.0044   -0.1113    0.0044   -0.0104    0.0107
 1345.0   -0.9557   -0.2149    0.8286    0.2556   -0.6978   -0.2892           0.0095    0.0048   -0.1115    0.0049   -0.0111    0.0109
 1350.0   -0.9535   -0.2152    0.8353    0.2603   -0.6990   -0.2915           0.0102    0.0052   -0.1114    0.0054   -0.0118    0.0111
 1355.0   -0.9509   -0.2153    0.8437    0.2654   -0.7005   -0.2941           0.0110    0.0057   -0.1114    0.0060   -0.0126    0.0113
 1360.0   -0.9482   -0.2153    0.8513    0.2703   -0.7012   -0.2963           0.0119    0.0062   -0.1110    0.0066   -0.0134    0.0115
 1365.0   -0.9451   -0.2152    0.8594    0.2753   -0.7016   -0.2985           0.0128    0.0067   -0.1104    0.0073   -0.0142    0.0116
 1370.0   -0.9418   -0.2149    0.8693    0.2807   -0.7023   -0.3010           0.0137    0.0073   -0.1097    0.0080   -0.0151    0.0118
 1375.0   -0.9382   -0.2144    0.8788    0.2858   -0.7022   -0.3032           0.0147    0.0079   -0.1088    0.0088   -0.0160    0.0119
 1380.0   -0.9344   -0.2139    0.8897    0.2914   -0.7025   -0.3058           0.0157    0.0085   -0.1077    0.0096   -0.0169    0.0121
 1385.0   -0.9305   -0.2132    0.9016    0.2970   -0.7025   -0.3083           0.0167    0.0091   -0.1061    0.0106   -0.0179    0.0121
 1390.0   -0.9263   -0.2123    0.9150    0.3030   -0.7029   -0.3113           0.0178    0.0098   -0.1044    0.0115   -0.0190    0.0122
 1395.0   -0.9220   -0.2113    0.9277    0.3088   -0.7025   -0.3138           0.0189    0.0105   -0.1022    0.0126   -0.0201    0.0122
 1400.0   -0.9174   -0.2102    0.9422    0.3151   -0.7025   -0.3168           0.0200    0.0112   -0.0998    0.0138   -0.0212    0.0122
 1405.0   -0.9127   -0.2089    0.9559    0.3212   -0.7015   -0.3194           0.0211    0.0120   -0.0971    0.0150   -0.0224    0.0122
 1410.0   -0.9078   -0.2075    0.9712    0.3277   -0.7010   -0.3224           0.0223    0.0127   -0.0939    0.0163   -0.0237    0.0121
 1415.0   -0.9027   -0.2060    0.9868    0.3344   -0.7002   -0.3254           0.0235    0.0136   -0.0902    0.0178   -0.0250    0.0119
 1420.0   -0.8975   -0.2043    1.0045    0.3415   -0.6998   -0.3289           0.0248    0.0144   -0.0861    0.0194   -0.0263    0.0117
 1425.0   -0.8922   -0.2025    1.0208    0.3485   -0.6986   -0.3320           0.0261    0.0153   -0.0814    0.0211   -0.0278    0.0114
 1430.0   -0.8867   -0.2006    1.0395    0.3559   -0.6977   -0.3356           0.0273    0.0162   -0.0765    0.0229   -0.0293    0.0111
 1435.0   -0.8811   -0.1986    1.0576    0.3636   -0.6965   -0.3391           0.0287    0.0171   -0.0709    0.0249   -0.0309    0.0107
 1440.0   -0.8753   -0.1964    1.0781    0.3717   -0.6958   -0.3432           0.0300    0.0181   -0.0649    0.0270   -0.0325    0.0102
 1445.0   -0.8694   -0.1940    1.0967    0.3798   -0.6941   -0.3469           0.0314    0.0191   -0.0584    0.0293   -0.0343    0.0097
 1450.0   -0.8634   -0.1916    1.1163    0.3884   -0.6929   -0.3510           0.0327    0.0202   -0.0512    0.0318   -0.0361    0.0090
 1455.0   -0.8573   -0.1890    1.1374    0.3973   -0.6914   -0.3552           0.0342    0.0212   -0.0433    0.0345   -0.0380    0.0083
 1460.0   -0.8511   -0.1863    1.1583    0.4064   -0.6896   -0.3595           0.0356    0.0224   -0.0349    0.0375   -0.0400    0.0074
