!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 3   10/ 7/19
!  WCM     F37  pE   F37  pM   F17  pE   F17  pM   F17  nE   F17  nM
 1080.0   -0.0089   -0.0000    0.0064   -0.0025   -0.0064    0.0023          -0.0000   -0.0000   -0.0000    0.0000    0.0000   -0.0000
 1085.0   -0.0198   -0.0001    0.0139   -0.0055   -0.0139    0.0051          -0.0000   -0.0000   -0.0000    0.0000    0.0000   -0.0000
 1090.0   -0.0321   -0.0001    0.0223   -0.0090   -0.0222    0.0084          -0.0000   -0.0000   -0.0000    0.0000    0.0000   -0.0000
 1095.0   -0.0450   -0.0001    0.0310   -0.0127   -0.0310    0.0120          -0.0000   -0.0000   -0.0000    0.0000    0.0000   -0.0000
 1100.0   -0.0582    0.0001    0.0399   -0.0167   -0.0398    0.0158          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1105.0   -0.0713    0.0004    0.0486   -0.0209   -0.0486    0.0198          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1110.0   -0.0841    0.0009    0.0573   -0.0251   -0.0572    0.0239          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1115.0   -0.0966    0.0016    0.0656   -0.0294   -0.0656    0.0281          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1120.0   -0.1085    0.0024    0.0737   -0.0337   -0.0736    0.0322          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1125.0   -0.1200    0.0035    0.0814   -0.0381   -0.0813    0.0364          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1130.0   -0.1310    0.0047    0.0888   -0.0424   -0.0887    0.0406          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1135.0   -0.1415    0.0062    0.0958   -0.0466   -0.0957    0.0447          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1140.0   -0.1514    0.0080    0.1024   -0.0508   -0.1024    0.0488          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1145.0   -0.1609    0.0100    0.1088   -0.0550   -0.1087    0.0529          -0.0000    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1150.0   -0.1698    0.0122    0.1148   -0.0591   -0.1147    0.0568          -0.0001    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1155.0   -0.1780    0.0147    0.1204   -0.0632   -0.1203    0.0608          -0.0001    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1160.0   -0.1859    0.0175    0.1257   -0.0671   -0.1256    0.0646          -0.0001    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1165.0   -0.1934    0.0205    0.1308   -0.0710   -0.1307    0.0684          -0.0001    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1170.0   -0.2004    0.0239    0.1355   -0.0749   -0.1354    0.0721          -0.0001    0.0000   -0.0000    0.0000    0.0000   -0.0000
 1175.0   -0.2070    0.0275    0.1400   -0.0786   -0.1399    0.0758          -0.0002    0.0000   -0.0000    0.0000    0.0000   -0.0000
