!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05    1
!                    PI0P Waves for L= 4    1/22/21
!  WCM     G37  pE   G37  pM   G17  pE   G17  pM   G17  nE   G17  nM
 1080.0   -0.0025   -0.0003    0.0016    0.0002   -0.0017   -0.0002          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1085.0   -0.0070   -0.0009    0.0047    0.0006   -0.0047   -0.0006          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1090.0   -0.0134   -0.0016    0.0088    0.0012   -0.0089   -0.0012          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1095.0   -0.0210   -0.0023    0.0139    0.0020   -0.0140   -0.0020          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1100.0   -0.0298   -0.0030    0.0197    0.0029   -0.0199   -0.0029          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1105.0   -0.0393   -0.0035    0.0259    0.0039   -0.0262   -0.0039          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1110.0   -0.0494   -0.0039    0.0326    0.0050   -0.0330   -0.0050          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1115.0   -0.0600   -0.0041    0.0395    0.0062   -0.0400   -0.0062          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1120.0   -0.0708   -0.0042    0.0466    0.0074   -0.0472   -0.0075          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1125.0   -0.0817   -0.0042    0.0538    0.0087   -0.0545   -0.0089          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1130.0   -0.0927   -0.0042    0.0609    0.0101   -0.0619   -0.0103          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1135.0   -0.1036   -0.0041    0.0681    0.0115   -0.0692   -0.0117          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1140.0   -0.1145   -0.0041    0.0752    0.0129   -0.0764   -0.0132          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1145.0   -0.1252   -0.0041    0.0822    0.0143   -0.0836   -0.0147          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1150.0   -0.1358   -0.0043    0.0891    0.0158   -0.0907   -0.0162          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1155.0   -0.1461   -0.0047    0.0958    0.0172   -0.0976   -0.0178          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1160.0   -0.1562   -0.0052    0.1024    0.0187   -0.1044   -0.0193          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1165.0   -0.1661   -0.0060    0.1087    0.0201   -0.1110   -0.0209          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1170.0   -0.1757   -0.0070    0.1149    0.0215   -0.1175   -0.0224          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1175.0   -0.1850   -0.0083    0.1210    0.0230   -0.1237   -0.0240          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1180.0   -0.1941   -0.0099    0.1268    0.0244   -0.1298   -0.0256          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1185.0   -0.2029   -0.0117    0.1324    0.0258   -0.1357   -0.0271          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1190.0   -0.2114   -0.0138    0.1379    0.0272   -0.1415   -0.0287          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1195.0   -0.2196   -0.0162    0.1431    0.0285   -0.1470   -0.0302          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1200.0   -0.2275   -0.0189    0.1482    0.0299   -0.1524   -0.0317          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1205.0   -0.2352   -0.0218    0.1531    0.0312   -0.1576   -0.0332          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1210.0   -0.2425   -0.0250    0.1578    0.0325   -0.1626   -0.0347          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1215.0   -0.2496   -0.0283    0.1623    0.0338   -0.1674   -0.0362          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1220.0   -0.2565   -0.0319    0.1666    0.0351   -0.1721   -0.0376          -0.0000   -0.0000    0.0000    0.0000   -0.0000   -0.0000
 1225.0   -0.2631   -0.0357    0.1707    0.0363   -0.1766   -0.0391          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1230.0   -0.2694   -0.0396    0.1747    0.0375   -0.1809   -0.0405          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1235.0   -0.2755   -0.0436    0.1786    0.0387   -0.1851   -0.0419          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1240.0   -0.2814   -0.0478    0.1822    0.0399   -0.1891   -0.0433          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1245.0   -0.2870   -0.0520    0.1857    0.0410   -0.1930   -0.0447          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1250.0   -0.2924   -0.0564    0.1891    0.0421   -0.1968   -0.0460          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1255.0   -0.2976   -0.0607    0.1923    0.0432   -0.2004   -0.0473          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1260.0   -0.3026   -0.0651    0.1954    0.0443   -0.2039   -0.0486          -0.0000   -0.0000    0.0001    0.0000   -0.0001   -0.0000
 1265.0   -0.3073   -0.0695    0.1984    0.0454   -0.2072   -0.0499          -0.0000   -0.0000    0.0002    0.0000   -0.0002   -0.0000
 1270.0   -0.3119   -0.0738    0.2012    0.0464   -0.2105   -0.0512          -0.0000   -0.0000    0.0002    0.0000   -0.0002   -0.0000
 1275.0   -0.3163   -0.0781    0.2039    0.0474   -0.2136   -0.0524          -0.0000   -0.0000    0.0002    0.0001   -0.0002   -0.0000
 1280.0   -0.3205   -0.0823    0.2064    0.0484   -0.2166   -0.0537          -0.0001   -0.0000    0.0002    0.0001   -0.0002   -0.0001
 1285.0   -0.3245   -0.0865    0.2089    0.0494   -0.2195   -0.0549          -0.0001   -0.0000    0.0002    0.0001   -0.0002   -0.0001
 1290.0   -0.3284   -0.0905    0.2112    0.0504   -0.2223   -0.0560          -0.0001   -0.0000    0.0003    0.0001   -0.0003   -0.0001
 1295.0   -0.3321   -0.0945    0.2135    0.0513   -0.2250   -0.0572          -0.0001   -0.0000    0.0003    0.0001   -0.0003   -0.0001
 1300.0   -0.3356   -0.0983    0.2156    0.0522   -0.2276   -0.0584          -0.0001   -0.0000    0.0003    0.0001   -0.0003   -0.0001
 1305.0   -0.3389   -0.1019    0.2177    0.0532   -0.2301   -0.0595          -0.0001   -0.0000    0.0004    0.0001   -0.0004   -0.0001
 1310.0   -0.3422   -0.1055    0.2196    0.0541   -0.2325   -0.0606          -0.0001   -0.0000    0.0004    0.0001   -0.0004   -0.0001
 1315.0   -0.3452   -0.1088    0.2215    0.0550   -0.2348   -0.0617          -0.0001   -0.0000    0.0004    0.0001   -0.0004   -0.0001
 1320.0   -0.3482   -0.1120    0.2232    0.0558   -0.2371   -0.0627          -0.0001   -0.0000    0.0005    0.0001   -0.0005   -0.0001
 1325.0   -0.3510   -0.1149    0.2249    0.0567   -0.2393   -0.0638          -0.0001   -0.0000    0.0005    0.0002   -0.0005   -0.0001
 1330.0   -0.3536   -0.1177    0.2265    0.0576   -0.2413   -0.0648          -0.0001   -0.0000    0.0005    0.0002   -0.0006   -0.0001
 1335.0   -0.3562   -0.1203    0.2280    0.0584   -0.2434   -0.0658          -0.0001   -0.0000    0.0006    0.0002   -0.0006   -0.0002
 1340.0   -0.3586   -0.1227    0.2295    0.0592   -0.2453   -0.0668          -0.0001   -0.0000    0.0006    0.0002   -0.0007   -0.0002
 1345.0   -0.3609   -0.1249    0.2308    0.0601   -0.2472   -0.0678          -0.0001   -0.0000    0.0007    0.0002   -0.0007   -0.0002
 1350.0   -0.3631   -0.1269    0.2321    0.0609   -0.2490   -0.0688          -0.0001   -0.0000    0.0007    0.0003   -0.0008   -0.0002
 1355.0   -0.3651   -0.1286    0.2334    0.0617   -0.2508   -0.0697          -0.0001   -0.0000    0.0008    0.0003   -0.0008   -0.0002
 1360.0   -0.3671   -0.1302    0.2345    0.0625   -0.2525   -0.0707          -0.0001   -0.0000    0.0009    0.0003   -0.0009   -0.0002
 1365.0   -0.3690   -0.1315    0.2356    0.0633   -0.2541   -0.0716          -0.0001   -0.0000    0.0009    0.0003   -0.0010   -0.0002
 1370.0   -0.3707   -0.1327    0.2367    0.0641   -0.2557   -0.0725          -0.0001   -0.0000    0.0010    0.0004   -0.0010   -0.0003
 1375.0   -0.3724   -0.1336    0.2377    0.0649   -0.2572   -0.0734          -0.0001   -0.0000    0.0011    0.0004   -0.0011   -0.0003
 1380.0   -0.3740   -0.1343    0.2386    0.0657   -0.2587   -0.0742          -0.0001   -0.0000    0.0011    0.0004   -0.0012   -0.0003
 1385.0   -0.3755   -0.1348    0.2395    0.0665   -0.2602   -0.0751          -0.0001   -0.0000    0.0012    0.0005   -0.0013   -0.0003
 1390.0   -0.3769   -0.1351    0.2404    0.0673   -0.2616   -0.0760          -0.0001   -0.0000    0.0013    0.0005   -0.0014   -0.0004
 1395.0   -0.3782   -0.1352    0.2412    0.0680   -0.2629   -0.0768          -0.0001   -0.0000    0.0014    0.0006   -0.0014   -0.0004
 1400.0   -0.3794   -0.1351    0.2419    0.0688   -0.2642   -0.0776          -0.0001   -0.0000    0.0015    0.0006   -0.0015   -0.0004
 1405.0   -0.3806   -0.1348    0.2426    0.0696   -0.2655   -0.0784          -0.0001   -0.0000    0.0015    0.0007   -0.0016   -0.0004
 1410.0   -0.3816   -0.1344    0.2433    0.0704   -0.2667   -0.0792          -0.0001   -0.0000    0.0016    0.0007   -0.0017   -0.0005
 1415.0   -0.3826   -0.1337    0.2439    0.0712   -0.2679   -0.0800          -0.0000   -0.0000    0.0017    0.0008   -0.0018   -0.0005
 1420.0   -0.3836   -0.1329    0.2445    0.0720   -0.2691   -0.0808          -0.0000   -0.0000    0.0018    0.0008   -0.0019   -0.0005
 1425.0   -0.3844   -0.1319    0.2450    0.0728   -0.2702   -0.0815          -0.0000   -0.0000    0.0019    0.0009   -0.0021   -0.0006
 1430.0   -0.3852   -0.1307    0.2456    0.0736   -0.2713   -0.0823          -0.0000   -0.0000    0.0020    0.0010   -0.0022   -0.0006
 1435.0   -0.3860   -0.1294    0.2460    0.0744   -0.2723   -0.0830          -0.0000   -0.0000    0.0021    0.0010   -0.0023   -0.0006
 1440.0   -0.3866   -0.1280    0.2465    0.0752   -0.2734   -0.0838          -0.0000   -0.0000    0.0023    0.0011   -0.0024   -0.0007
 1445.0   -0.3872   -0.1264    0.2469    0.0761   -0.2744   -0.0845          -0.0000   -0.0000    0.0024    0.0012   -0.0025   -0.0007
 1450.0   -0.3878   -0.1246    0.2473    0.0769   -0.2753   -0.0852           0.0000    0.0000    0.0025    0.0013   -0.0027   -0.0007
 1455.0   -0.3883   -0.1228    0.2476    0.0777   -0.2763   -0.0859           0.0000    0.0000    0.0026    0.0014   -0.0028   -0.0008
 1460.0   -0.3887   -0.1208    0.2480    0.0786   -0.2772   -0.0866           0.0000    0.0000    0.0028    0.0015   -0.0030   -0.0008
 1465.0   -0.3891   -0.1187    0.2483    0.0794   -0.2781   -0.0873           0.0000    0.0000    0.0029    0.0015   -0.0031   -0.0009
 1470.0   -0.3894   -0.1166    0.2486    0.0803   -0.2790   -0.0879           0.0000    0.0000    0.0030    0.0017   -0.0032   -0.0009
 1475.0   -0.3897   -0.1143    0.2488    0.0812   -0.2798   -0.0886           0.0001    0.0000    0.0032    0.0018   -0.0034   -0.0010
 1480.0   -0.3899   -0.1119    0.2491    0.0821   -0.2807   -0.0892           0.0001    0.0000    0.0033    0.0019   -0.0036   -0.0010
 1485.0   -0.3901   -0.1095    0.2493    0.0830   -0.2815   -0.0899           0.0001    0.0000    0.0035    0.0020   -0.0037   -0.0011
 1490.0   -0.3902   -0.1070    0.2495    0.0839   -0.2823   -0.0905           0.0001    0.0000    0.0036    0.0021   -0.0039   -0.0011
 1495.0   -0.3903   -0.1044    0.2497    0.0848   -0.2830   -0.0912           0.0001    0.0000    0.0038    0.0023   -0.0041   -0.0012
 1500.0   -0.3903   -0.1018    0.2498    0.0858   -0.2838   -0.0918           0.0001    0.0000    0.0040    0.0024   -0.0043   -0.0013
 1505.0   -0.3903   -0.0991    0.2499    0.0867   -0.2845   -0.0924           0.0001    0.0001    0.0041    0.0025   -0.0045   -0.0013
 1510.0   -0.3903   -0.0964    0.2501    0.0877   -0.2852   -0.0930           0.0001    0.0001    0.0043    0.0027   -0.0046   -0.0014
 1515.0   -0.3902   -0.0937    0.2502    0.0887   -0.2860   -0.0936           0.0002    0.0001    0.0045    0.0029   -0.0048   -0.0014
 1520.0   -0.3900   -0.0909    0.2503    0.0897   -0.2866   -0.0942           0.0002    0.0001    0.0047    0.0030   -0.0050   -0.0015
 1525.0   -0.3899   -0.0881    0.2503    0.0907   -0.2873   -0.0948           0.0002    0.0001    0.0049    0.0032   -0.0053   -0.0016
 1530.0   -0.3897   -0.0853    0.2504    0.0917   -0.2880   -0.0954           0.0002    0.0001    0.0051    0.0034   -0.0055   -0.0017
 1535.0   -0.3894   -0.0825    0.2505    0.0927   -0.2886   -0.0960           0.0002    0.0001    0.0053    0.0036   -0.0057   -0.0017
 1540.0   -0.3891   -0.0797    0.2505    0.0938   -0.2892   -0.0965           0.0002    0.0001    0.0055    0.0038   -0.0059   -0.0018
 1545.0   -0.3888   -0.0769    0.2505    0.0949   -0.2899   -0.0971           0.0003    0.0001    0.0057    0.0040   -0.0062   -0.0019
 1550.0   -0.3885   -0.0741    0.2505    0.0960   -0.2905   -0.0977           0.0003    0.0002    0.0059    0.0043   -0.0064   -0.0020
 1555.0   -0.3881   -0.0713    0.2505    0.0971   -0.2911   -0.0982           0.0003    0.0002    0.0062    0.0045   -0.0066   -0.0021
 1560.0   -0.3877   -0.0686    0.2505    0.0982   -0.2917   -0.0987           0.0003    0.0002    0.0064    0.0048   -0.0069   -0.0022
 1565.0   -0.3872   -0.0658    0.2505    0.0994   -0.2922   -0.0993           0.0003    0.0002    0.0066    0.0050   -0.0072   -0.0023
 1570.0   -0.3868   -0.0631    0.2505    0.1005   -0.2928   -0.0998           0.0004    0.0002    0.0069    0.0053   -0.0074   -0.0024
 1575.0   -0.3862   -0.0604    0.2505    0.1017   -0.2933   -0.1003           0.0004    0.0002    0.0071    0.0056   -0.0077   -0.0025
 1580.0   -0.3857   -0.0578    0.2504    0.1029   -0.2939   -0.1008           0.0004    0.0003    0.0074    0.0059   -0.0080   -0.0026
 1585.0   -0.3851   -0.0552    0.2504    0.1042   -0.2944   -0.1013           0.0004    0.0003    0.0077    0.0062   -0.0083   -0.0027
 1590.0   -0.3846   -0.0527    0.2503    0.1054   -0.2949   -0.1019           0.0004    0.0003    0.0079    0.0065   -0.0086   -0.0028
 1595.0   -0.3839   -0.0501    0.2503    0.1067   -0.2954   -0.1023           0.0005    0.0003    0.0082    0.0069   -0.0089   -0.0030
 1600.0   -0.3833   -0.0477    0.2502    0.1080   -0.2959   -0.1028           0.0005    0.0004    0.0085    0.0072   -0.0092   -0.0031
 1605.0   -0.3826   -0.0453    0.2502    0.1093   -0.2964   -0.1033           0.0005    0.0004    0.0088    0.0076   -0.0095   -0.0032
 1610.0   -0.3819   -0.0429    0.2501    0.1107   -0.2969   -0.1038           0.0005    0.0005    0.0091    0.0080   -0.0098   -0.0034
 1615.0   -0.3812   -0.0406    0.2500    0.1120   -0.2974   -0.1043           0.0006    0.0005    0.0094    0.0084   -0.0101   -0.0035
 1620.0   -0.3804   -0.0384    0.2499    0.1134   -0.2978   -0.1047           0.0006    0.0005    0.0097    0.0088   -0.0105   -0.0036
 1625.0   -0.3797   -0.0362    0.2498    0.1148   -0.2983   -0.1052           0.0006    0.0006    0.0100    0.0093   -0.0108   -0.0038
 1630.0   -0.3789   -0.0340    0.2498    0.1162   -0.2987   -0.1056           0.0006    0.0006    0.0104    0.0097   -0.0112   -0.0040
 1635.0   -0.3781   -0.0320    0.2497    0.1177   -0.2991   -0.1060           0.0007    0.0007    0.0107    0.0102   -0.0115   -0.0041
 1640.0   -0.3772   -0.0299    0.2496    0.1192   -0.2996   -0.1065           0.0007    0.0007    0.0111    0.0107   -0.0119   -0.0043
