  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)    Im(E2+)     Re(E2-)   Im(E2-)    Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1080.0000   -23.0150    -0.6394     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.8466     0.0001     0.0000     0.0000     1.1210    -0.0001    -0.9792     0.0003    -0.0765    -0.0000    -0.4677    -0.0000     0.0389     0.0000    -0.0749    -0.0000    -0.0064     0.0000    -0.0208    -0.0000     0.0023    -0.0000    -0.0058    -0.0000    -0.0007    -0.0000    -0.0017    -0.0000     0.0002     0.0000    -0.0002    -0.0000    -0.0001    -0.0000    -0.0002    -0.0000     0.0000     0.0000    -0.0000    -0.0000
 1085.0000   -22.1375    -1.1136     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.0903     0.0007     0.0000     0.0000     1.4552    -0.0009    -1.3138     0.0020    -0.1266    -0.0000    -0.7845    -0.0000     0.0658     0.0000    -0.1219    -0.0000    -0.0139     0.0000    -0.0451    -0.0000     0.0051    -0.0000    -0.0116    -0.0000    -0.0019    -0.0000    -0.0047    -0.0000     0.0005     0.0000    -0.0006    -0.0000    -0.0003    -0.0000    -0.0006    -0.0000     0.0001     0.0000    -0.0001    -0.0000
 1090.0000   -21.3102    -1.3887     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.2671     0.0017     0.0000     0.0000     1.7077    -0.0023    -1.5837     0.0049    -0.1715    -0.0000    -1.0776    -0.0000     0.0910     0.0000    -0.1611    -0.0000    -0.0222     0.0000    -0.0723    -0.0000     0.0084    -0.0000    -0.0182    -0.0000    -0.0036    -0.0000    -0.0089    -0.0000     0.0010     0.0000    -0.0012    -0.0000    -0.0006    -0.0000    -0.0013    -0.0000     0.0001     0.0000    -0.0002    -0.0000
 1095.0000   -20.5287    -1.5782     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.4043     0.0032     0.0000     0.0000     1.9123    -0.0043    -1.8154     0.0089    -0.2119    -0.0000    -1.3499    -0.0001     0.1147     0.0000    -0.1923    -0.0000    -0.0310     0.0000    -0.1010    -0.0000     0.0120    -0.0000    -0.0252    -0.0000    -0.0056    -0.0000    -0.0140    -0.0000     0.0016     0.0000    -0.0020    -0.0000    -0.0011    -0.0000    -0.0023    -0.0000     0.0002     0.0000    -0.0003    -0.0000
 1100.0000   -19.7899    -1.7151     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.5144     0.0050     0.0000     0.0000     2.0837    -0.0068    -2.0211     0.0136    -0.2483    -0.0001    -1.6023    -0.0002     0.1369     0.0000    -0.2154    -0.0000    -0.0398     0.0000    -0.1303    -0.0000     0.0158    -0.0000    -0.0327    -0.0000    -0.0080    -0.0000    -0.0199    -0.0000     0.0023     0.0000    -0.0029    -0.0000    -0.0017    -0.0000    -0.0036    -0.0000     0.0004     0.0000    -0.0005    -0.0000
 1105.0000   -19.0921    -1.8179     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.6046     0.0070     0.0000     0.0000     2.2307    -0.0098    -2.2074     0.0190    -0.2811    -0.0001    -1.8395    -0.0004     0.1576     0.0001    -0.2308    -0.0000    -0.0486     0.0000    -0.1594    -0.0000     0.0198    -0.0000    -0.0404    -0.0000    -0.0105    -0.0000    -0.0262    -0.0000     0.0031     0.0000    -0.0039    -0.0000    -0.0024    -0.0000    -0.0051    -0.0000     0.0006     0.0000    -0.0007    -0.0000
 1110.0000   -18.4177    -1.8934     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.6796     0.0093     0.0000     0.0000     2.3584    -0.0131    -2.3788     0.0246    -0.3107    -0.0002    -2.0601    -0.0007     0.1769     0.0001    -0.2388    -0.0001    -0.0572     0.0000    -0.1882    -0.0000     0.0239    -0.0000    -0.0484    -0.0000    -0.0132    -0.0000    -0.0330    -0.0000     0.0040     0.0000    -0.0050    -0.0000    -0.0032    -0.0000    -0.0068    -0.0000     0.0008     0.0000    -0.0009    -0.0000
 1115.0000   -17.7977    -1.9486     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.7423     0.0118     0.0000     0.0000     2.4702    -0.0168    -2.5382     0.0305    -0.3372    -0.0003    -2.2691    -0.0011     0.1947     0.0002    -0.2404    -0.0001    -0.0656     0.0000    -0.2161    -0.0000     0.0281    -0.0000    -0.0565    -0.0000    -0.0159    -0.0000    -0.0400    -0.0000     0.0049     0.0000    -0.0062    -0.0000    -0.0041    -0.0000    -0.0087    -0.0000     0.0010     0.0000    -0.0012    -0.0000
 1120.0000   -17.2160    -1.9897     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.7951     0.0145     0.0000     0.0000     2.5692    -0.0208    -2.6875     0.0363    -0.3613    -0.0004    -2.4636    -0.0017     0.2114     0.0002    -0.2363    -0.0002    -0.0736     0.0000    -0.2434    -0.0000     0.0322    -0.0000    -0.0648    -0.0000    -0.0188    -0.0000    -0.0472    -0.0000     0.0060     0.0000    -0.0075    -0.0000    -0.0051    -0.0000    -0.0107    -0.0000     0.0013     0.0000    -0.0016    -0.0000
 1125.0000   -16.6731    -2.0213     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.8398     0.0174     0.0000     0.0000     2.6571    -0.0251    -2.8284     0.0420    -0.3832    -0.0005    -2.6463    -0.0025     0.2269     0.0003    -0.2282    -0.0002    -0.0813     0.0000    -0.2694    -0.0000     0.0364    -0.0000    -0.0731    -0.0000    -0.0216    -0.0000    -0.0545    -0.0000     0.0070     0.0000    -0.0089    -0.0000    -0.0061    -0.0000    -0.0129    -0.0000     0.0016     0.0000    -0.0019    -0.0000
 1130.0000   -16.1681    -2.0444     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.8778     0.0203     0.0000     0.0000     2.7357    -0.0296    -2.9625     0.0472    -0.4030    -0.0007    -2.8203    -0.0035     0.2412     0.0004    -0.2181    -0.0003    -0.0887     0.0000    -0.2946    -0.0000     0.0406    -0.0000    -0.0816    -0.0000    -0.0245    -0.0000    -0.0619    -0.0000     0.0081     0.0000    -0.0103    -0.0000    -0.0072    -0.0000    -0.0152    -0.0000     0.0019     0.0000    -0.0023    -0.0000
 1135.0000   -15.7118    -2.0611     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9095     0.0234     0.0000     0.0000     2.8054    -0.0344    -3.0901     0.0520    -0.4209    -0.0009    -2.9810    -0.0047     0.2544     0.0005    -0.2071    -0.0003    -0.0957     0.0000    -0.3188    -0.0000     0.0447    -0.0000    -0.0900    -0.0000    -0.0273    -0.0000    -0.0692    -0.0000     0.0092     0.0000    -0.0117    -0.0000    -0.0083    -0.0000    -0.0175    -0.0000     0.0023     0.0000    -0.0027    -0.0000
 1140.0000   -15.2737    -2.0732     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9365     0.0266     0.0000     0.0000     2.8682    -0.0393    -3.2130     0.0560    -0.4371    -0.0011    -3.1310    -0.0061     0.2666     0.0007    -0.1977    -0.0004    -0.1024     0.0000    -0.3415    -0.0000     0.0488    -0.0000    -0.0983    -0.0000    -0.0301    -0.0000    -0.0764    -0.0000     0.0104     0.0000    -0.0132    -0.0000    -0.0094    -0.0000    -0.0200    -0.0000     0.0026     0.0000    -0.0032    -0.0000
 1145.0000   -14.8748    -2.0820     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9590     0.0298     0.0000     0.0000     2.9243    -0.0444    -3.3310     0.0592    -0.4518    -0.0013    -3.2705    -0.0078     0.2777     0.0008    -0.1916    -0.0005    -0.1087     0.0000    -0.3636    -0.0001     0.0529    -0.0000    -0.1067    -0.0000    -0.0329    -0.0000    -0.0836    -0.0000     0.0115     0.0000    -0.0147    -0.0000    -0.0106    -0.0000    -0.0224    -0.0000     0.0030     0.0000    -0.0036    -0.0000
 1150.0000   -14.4853    -2.0861     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9775     0.0330     0.0000     0.0000     2.9744    -0.0497    -3.4446     0.0614    -0.4652    -0.0016    -3.4026    -0.0098     0.2878     0.0010    -0.1909    -0.0006    -0.1147     0.0000    -0.3845    -0.0001     0.0568    -0.0000    -0.1150    -0.0000    -0.0356    -0.0000    -0.0907    -0.0000     0.0127     0.0000    -0.0162    -0.0000    -0.0117    -0.0000    -0.0249    -0.0000     0.0034     0.0000    -0.0041    -0.0000
 1155.0000   -14.1265    -2.0868     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -1.9928     0.0363     0.0000     0.0000     3.0194    -0.0550    -3.5551     0.0624    -0.4772    -0.0019    -3.5215    -0.0121     0.2971     0.0012    -0.1959    -0.0007    -0.1203     0.0000    -0.4044    -0.0001     0.0608    -0.0000    -0.1232    -0.0000    -0.0382    -0.0000    -0.0976    -0.0000     0.0139     0.0000    -0.0178    -0.0000    -0.0129    -0.0000    -0.0275    -0.0000     0.0038     0.0000    -0.0046    -0.0000
 1160.0000   -13.7834    -2.0853     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.0051     0.0396     0.0000     0.0000     3.0598    -0.0605    -3.6625     0.0620    -0.4881    -0.0022    -3.6337    -0.0148     0.3054     0.0014    -0.2083    -0.0008    -0.1256     0.0000    -0.4233    -0.0002     0.0646    -0.0000    -0.1313    -0.0000    -0.0408    -0.0000    -0.1044    -0.0000     0.0151     0.0000    -0.0193    -0.0000    -0.0141     0.0000    -0.0300    -0.0000     0.0043    -0.0000    -0.0051    -0.0000
 1165.0000   -13.4546    -2.0805     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -2.0145     0.0429     0.0000     0.0000     3.0955    -0.0659    -3.7667     0.0602    -0.4980    -0.0026    -3.7332    -0.0178     0.3128     0.0016    -0.2273    -0.0011    -0.1307     0.0000    -0.4408    -0.0002     0.0684    -0.0000    -0.1390    -0.0001    -0.0433    -0.0000    -0.1110    -0.0000     0.0163     0.0000    -0.0209    -0.0000    -0.0153     0.0000    -0.0325    -0.0000     0.0047    -0.0000    -0.0056    -0.0000
