  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)   Im(E2+)     Re(E2-)   Im(E2-)     Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1080.0000    18.9053     0.5254     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.8218    -0.0001     0.0000     0.0000    -0.8066     0.0001     0.4129    -0.0001     0.0745     0.0000     0.2669     0.0000    -0.0386    -0.0000     0.0506     0.0000     0.0064    -0.0000    -0.0003    -0.0000    -0.0025     0.0000     0.0031     0.0000     0.0007     0.0000     0.0016     0.0000    -0.0002    -0.0000     0.0002     0.0000     0.0001     0.0000     0.0002     0.0000    -0.0000    -0.0000     0.0000     0.0000
 1085.0000    18.0384     0.9076     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.0428    -0.0007     0.0000     0.0000    -1.0497     0.0007     0.5437    -0.0008     0.1231     0.0000     0.4493     0.0000    -0.0654    -0.0000     0.0893     0.0000     0.0139    -0.0000     0.0109     0.0000    -0.0055     0.0000     0.0069     0.0000     0.0019     0.0000     0.0047     0.0000    -0.0005    -0.0000     0.0006     0.0000     0.0003     0.0000     0.0006     0.0000    -0.0001    -0.0000     0.0001     0.0000
 1090.0000    17.2810     1.1262     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.1975    -0.0016     0.0000     0.0000    -1.2326     0.0017     0.6449    -0.0020     0.1667     0.0000     0.6209     0.0000    -0.0905    -0.0000     0.1285     0.0000     0.0223    -0.0000     0.0274     0.0000    -0.0090     0.0000     0.0113     0.0000     0.0036     0.0000     0.0088     0.0000    -0.0010    -0.0000     0.0012     0.0000     0.0006     0.0000     0.0013     0.0000    -0.0001    -0.0000     0.0002     0.0000
 1095.0000    16.6145     1.2774     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3134    -0.0030     0.0000     0.0000    -1.3795     0.0031     0.7290    -0.0036     0.2058     0.0000     0.7839     0.0000    -0.1142    -0.0000     0.1680     0.0000     0.0310    -0.0000     0.0476     0.0000    -0.0127     0.0000     0.0162     0.0000     0.0056     0.0000     0.0139     0.0000    -0.0016    -0.0000     0.0020     0.0000     0.0011     0.0000     0.0023     0.0000    -0.0002    -0.0000     0.0003     0.0000
 1100.0000    16.0254     1.3891     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4032    -0.0046     0.0000     0.0000    -1.5012     0.0049     0.8018    -0.0054     0.2409     0.0001     0.9397     0.0001    -0.1364    -0.0000     0.2074     0.0000     0.0399    -0.0000     0.0710     0.0000    -0.0167     0.0000     0.0215     0.0000     0.0080     0.0000     0.0197     0.0000    -0.0023    -0.0000     0.0029     0.0000     0.0017     0.0000     0.0036     0.0000    -0.0004    -0.0000     0.0005     0.0000
 1105.0000    15.5004     1.4760     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4742    -0.0065     0.0000     0.0000    -1.6041     0.0070     0.8668    -0.0074     0.2724     0.0001     1.0913     0.0002    -0.1572    -0.0001     0.2465     0.0001     0.0486    -0.0000     0.0968     0.0000    -0.0209     0.0000     0.0269     0.0000     0.0105     0.0000     0.0259     0.0000    -0.0031    -0.0000     0.0039     0.0000     0.0024     0.0000     0.0051     0.0000    -0.0006    -0.0000     0.0007     0.0000
 1110.0000    15.0140     1.5434     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.5311    -0.0085     0.0000     0.0000    -1.6921     0.0094     0.9259    -0.0096     0.3008     0.0002     1.2379     0.0004    -0.1768    -0.0001     0.2845     0.0001     0.0573    -0.0000     0.1248     0.0000    -0.0251     0.0000     0.0326     0.0000     0.0132     0.0000     0.0326     0.0000    -0.0040    -0.0000     0.0050     0.0000     0.0032     0.0000     0.0068     0.0000    -0.0008    -0.0000     0.0009     0.0000
 1115.0000    14.5705     1.5954     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.5769    -0.0107     0.0000     0.0000    -1.7677     0.0120     0.9808    -0.0118     0.3261     0.0003     1.3824     0.0007    -0.1950    -0.0002     0.3212     0.0002     0.0656    -0.0000     0.1545     0.0000    -0.0294     0.0000     0.0382     0.0000     0.0159     0.0000     0.0395     0.0000    -0.0050    -0.0000     0.0062     0.0000     0.0041     0.0000     0.0087     0.0000    -0.0010    -0.0000     0.0012     0.0000
 1120.0000    14.1431     1.6348     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6139    -0.0131     0.0000     0.0000    -1.8331     0.0149     1.0325    -0.0140     0.3492     0.0004     1.5225     0.0011    -0.2122    -0.0002     0.3558     0.0002     0.0737    -0.0000     0.1861     0.0000    -0.0337     0.0000     0.0440     0.0000     0.0187     0.0000     0.0466     0.0000    -0.0060    -0.0000     0.0074     0.0000     0.0051     0.0000     0.0107     0.0000    -0.0013    -0.0000     0.0016     0.0000
 1125.0000    13.7177     1.6631     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6440    -0.0155     0.0000     0.0000    -1.8899     0.0179     1.0818    -0.0160     0.3700     0.0005     1.6593     0.0016    -0.2283    -0.0003     0.3878     0.0004     0.0814    -0.0000     0.2189     0.0000    -0.0381     0.0000     0.0498     0.0000     0.0216     0.0000     0.0538     0.0000    -0.0071    -0.0000     0.0087     0.0000     0.0061     0.0000     0.0129     0.0000    -0.0016    -0.0000     0.0019     0.0000
 1130.0000    13.2845     1.6797     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6683    -0.0181     0.0000     0.0000    -1.9393     0.0210     1.1295    -0.0180     0.3888     0.0007     1.7935     0.0022    -0.2433    -0.0004     0.4171     0.0005     0.0888    -0.0000     0.2530     0.0000    -0.0424     0.0000     0.0556     0.0000     0.0245     0.0000     0.0609     0.0000    -0.0082    -0.0000     0.0101     0.0000     0.0072     0.0000     0.0152     0.0000    -0.0019    -0.0000     0.0023     0.0000
 1135.0000    12.8516     1.6860     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6875    -0.0207     0.0000     0.0000    -1.9816     0.0243     1.1759    -0.0198     0.4057     0.0009     1.9215     0.0030    -0.2574    -0.0005     0.4427     0.0007     0.0958    -0.0000     0.2879     0.0000    -0.0466     0.0000     0.0614     0.0000     0.0273     0.0000     0.0681     0.0000    -0.0093    -0.0000     0.0115     0.0000     0.0083     0.0000     0.0176     0.0000    -0.0022    -0.0000     0.0027     0.0000
 1140.0000    12.4077     1.6842     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7030    -0.0234     0.0000     0.0000    -2.0184     0.0277     1.2218    -0.0213     0.4210     0.0011     2.0436     0.0040    -0.2705    -0.0007     0.4648     0.0009     0.1024    -0.0000     0.3231     0.0000    -0.0508     0.0000     0.0671     0.0000     0.0301     0.0000     0.0752     0.0000    -0.0105    -0.0000     0.0129     0.0000     0.0094     0.0000     0.0200     0.0000    -0.0026    -0.0000     0.0032     0.0000
 1145.0000    11.9832     1.6773     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7151    -0.0261     0.0000     0.0000    -2.0500     0.0311     1.2672    -0.0225     0.4348     0.0013     2.1588     0.0052    -0.2828    -0.0008     0.4834     0.0012     0.1088    -0.0000     0.3588     0.0001    -0.0550     0.0000     0.0728     0.0000     0.0328     0.0000     0.0822     0.0000    -0.0117    -0.0000     0.0143     0.0000     0.0106     0.0000     0.0225     0.0000    -0.0029    -0.0000     0.0036     0.0000
 1150.0000    11.5718     1.6665     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7242    -0.0288     0.0000     0.0000    -2.0767     0.0347     1.3125    -0.0234     0.4473     0.0015     2.2678     0.0066    -0.2941    -0.0010     0.4990     0.0014     0.1148    -0.0000     0.3942     0.0001    -0.0591     0.0000     0.0785     0.0000     0.0355     0.0000     0.0891     0.0000    -0.0129    -0.0000     0.0158     0.0000     0.0117     0.0000     0.0250     0.0000    -0.0033    -0.0000     0.0041     0.0000
 1155.0000    11.1977     1.6542     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7310    -0.0315     0.0000     0.0000    -2.0993     0.0383     1.3582    -0.0238     0.4586     0.0018     2.3666     0.0082    -0.3047    -0.0012     0.5113     0.0018     0.1204    -0.0000     0.4292     0.0001    -0.0632     0.0000     0.0841     0.0000     0.0382     0.0000     0.0958     0.0000    -0.0141    -0.0000     0.0172     0.0000     0.0129     0.0000     0.0276     0.0000    -0.0037    -0.0000     0.0046     0.0000
 1160.0000    10.8568     1.6425     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7359    -0.0343     0.0000     0.0000    -2.1183     0.0419     1.4043    -0.0238     0.4687     0.0021     2.4584     0.0100    -0.3145    -0.0014     0.5215     0.0021     0.1257    -0.0000     0.4632     0.0002    -0.0671     0.0000     0.0896     0.0000     0.0407     0.0000     0.1024     0.0000    -0.0153    -0.0000     0.0187     0.0000     0.0141    -0.0000     0.0301     0.0000    -0.0041     0.0000     0.0051     0.0000
 1165.0000    10.5478     1.6310     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7387    -0.0370     0.0000     0.0000    -2.1335     0.0454     1.4510    -0.0232     0.4779     0.0025     2.5393     0.0121    -0.3235    -0.0017     0.5296     0.0025     0.1308    -0.0000     0.4957     0.0002    -0.0710     0.0000     0.0949     0.0000     0.0432     0.0000     0.1087     0.0000    -0.0165    -0.0000     0.0201     0.0000     0.0153    -0.0000     0.0326     0.0000    -0.0044     0.0000     0.0056     0.0000
